## National Memorandum

| Level / Grade / Title | Level Equalization Group | Time In-Title/Grade | Time in Location |
| :--- | :--- | :--- | :--- |
| DT | 1 | 9 | 9 |
| E-1 | 1 | 9 | 9 |
| E-2 | 2 | 9 | 9 |
| E-3 | 2 | 12 | 12 |
| EA5N | 6 | 36 | 12 |
| ELAR | 6 | 18 | 12 |
| ELCR | 5 | 18 | 12 |
| ELD R | 2 | 18 | 12 |
| ELFR | 2 | 18 | 12 |
| ELGR | 1 | 18 | 12 |
| ELHR | 3 | 18 | 12 |
| ELKR | 3 | 18 | 12 |
| ELNR | 2 | 18 | 12 |
| ELSR | 1 | 18 | 12 |
| ELTR | 1 | 18 | 12 |
| ELWR | 2 | 18 | 12 |
| EMAR | 5 | 18 | 12 |
| EMBR | 4 | 18 | 12 |
| EMER | 1 | 18 | 12 |
| EMKR | 1 | 18 | 12 |
| FOA | 2 | 9 | 9 |
| FOB | 1 | 9 | 9 |
| HSA | 4 | 18 | 12 |
| L-1 | 1 | 9 | 9 |
| L-2 | 2 | 12 | 12 |
| L-3 | 3 | 15 | 12 |
| L-4 | 4 | 18 | 12 |
| LSDD | 4 | 9 | 9 |
| MMA | 6 | 36 | 12 |
| MMAB | 5 | 18 | 12 |
| MMAS | 6 | 36 | 12 |
| MMB. | 5 | 18 | 12 |
| MMBS | 5 | 18 | 12 |
| MMC | 2 | 9 | 9 |
| MMCS | 2 | 9 | 9 |
| MMD | 1 | 9 | 9 |
| MS | 6 | 36 | 12 |
| MSLFA | 2 | 9 | 9 |
| MSLFB | 1 | 9 | 9 |
| OT97 | 5 | 36 | 12 |

367
