## National Memorandum

| Level / Grade / Title | Level Equalization Group | Time In-Title/Grade | Time In Location |
| :--- | :---: | :---: | :---: |
| PL1 | 2 | 12 | 12 |
| PL2 | 3 | 24 | 12 |
| PL2A | 4 | 24 | 12 |
| PL3 | 4 | 36 | 12 |
| PL4 | 5 | 36 | 12 |
| PL5 | 6 | 36 | 12 |
| R10 | 1 | 9 | 9 |
| R20 | 2 | 9 | 9 |
| R30 | 3 | 15 | 12 |
| R40 | 4 | 18 | 12 |
| R50 | 5 | 36 | 12 |
| RF97 | 5 | 36 | 12 |
| S-1 | 3 | 18 | 12 |
| S-2 | 4 | 18 | 12 |
| S000 | 2 | 24 | 12 |
| S10 | 2 | 24 | 12 |
| S20 | 2 | 24 | 12 |
| S30 | 3 | 24 | 12 |
| SCA | 2 | 9 | 9 |
| SCAH | 2 | 9 | 9 |
| SCB | 5 | 18 | 12 |
| SCBH | 5 | 18 | 12 |
| SCC | 6 | 36 | 12 |
| SCCH | 6 | 36 | 12 |
| SCST | 6 | 36 | 12 |
| SR | 5 | 24 | 12 |
| SR-C | 5 | 24 | 12 |
| SRTECH | 6 | 36 | 12 |
| SS-1 | 2 | 15 | 12 |
| SS-2 | 3 | 15 | 12 |
| ST-1 | 6 | 36 | 12 |
| ST-2 | 6 | 36 | 12 |
| SUPPAT | 3 | 18 | 12 |
| SUPPC | 4 | 18 | 12 |
| SUPPE | 5 | 36 | 12 |
| SVCCC | 4 | 18 | 12 |
| SVCD4 | 3 | 15 | 12 |
| SVCTG2 | 1 | 9 | 9 |
| SVCTG3 | 4 | 18 | 12 |
| SVCTG4 | 2 | 12 | 12 |

368
