## INDEPENDENTS

Pursuant to its authority under that standard Memorandum of Understanding between District Council No. 1 and independent employers (meaning those employers which are not party to the Joint Agreement and Working Rules or some other Association Agreement), the following rate schedule for wages and contributions shall apply. The applicable Fringe Benefit Funds where not specified shall be the same as listed in Article VII.

A. The Standard Payment for work performed on or after June 1, 2000, to and inclusive of May 31, 2001:

| Wage Rate | $ 28.50 |
|---|---|
| Pension | $ 2.38 |
| Health & Welfare | $ 4.10 |
| Local Apprenticeship and Training Fund | $ 0.05 |
| International Masonry Institute | $ 0.37 |
| Chicagoland Construction Safety Cncl. | $ 0.01 |
| Annuity Fund | $ 1.55 |
| International Pension Fund | $ 0.25 |
| District Council Training Center Fund | $ 0.05 |

B. An increase of $1.60 per hour shall become effective June 1, 2001. The Union shall allocate the increase among wages and existing fringe benefit funds. The Standard Payment for work preformed effective as of June 1, 2001, to and inclusive of May 31, 2002:

| Wage Rate | $ |
|---|---|
| Pension | $ |
| Health & Welfare | $ |
| Local Apprenticeship and Training Fund | $ |
| International Masonry Institute | $ |
| Chicagoland Construction Safety Cncl. | $ |
| Annuity Fund | $ |
| International Pension Fund | $ |
| District Council Training Center Fund | $ |

67
