## Appendix A-2 Weekly Schedule of Weekly Salary Rates
Unit 9
Effective January 2, 2000

| Job Group | Step 1 | Step 2 | Step 3 | Step 4 | Step 5 | Step 6 | Step 7 | Promotion Factor |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 9 | $423.85 | $435.81 | $447.77 | $459.75 | $471.73 | $483.69 | $507.64 | $11.97 |
| 10 | $441.37 | $454.11 | $466.86 | $479.61 | $492.35 | $505.09 | $530.58 | $12.74 |
| 11 | $458.70 | $472.54 | $486.39 | $500.23 | $514.06 | $527.90 | $555.59 | $13.84 |
| 12 | $479.68 | $494.17 | $508.67 | $523.15 | $537.64 | $552.13 | $581.11 | $14.49 |
| 13 | $507.22 | $522.47 | $537.73 | $552.99 | $568.25 | $583.51 | $614.01 | $15.25 |
| 14 | $532.93 | $550.85 | $568.79 | $586.73 | $604.65 | $622.58 | $658.45 | $17.92 |
| 15 | $560.99 | $580.55 | $600.11 | $619.67 | $639.22 | $658.78 | $697.90 | $19.55 |
| 16 | $589.82 | $611.75 | $633.64 | $655.56 | $677.47 | $699.38 | $743.22 | $21.92 |
| 17 | $623.89 | $646.78 | $669.66 | $692.55 | $715.43 | $738.31 | $784.08 | $22.88 |
| 18 | $652.64 | $677.36 | $702.08 | $726.79 | $751.51 | $776.22 | $825.65 | $24.72 |
| 19 | $684.98 | $711.60 | $738.22 | $764.85 | $791.48 | $818.10 | $871.35 | $26.62 |
| 20 | $720.36 | $747.87 | $775.38 | $802.87 | $830.39 | $857.91 | $912.91 | $27.51 |
| 21 | $752.68 | $782.27 | $811.90 | $841.50 | $871.09 | $900.71 | $959.91 | $29.60 |
| 22 | $788.87 | $820.45 | $852.03 | $883.61 | $915.18 | $946.77 | $1,009.92 | $31.58 |
| 23 | $827.90 | $860.35 | $892.79 | $925.24 | $957.68 | $990.14 | $1,055.02 | $32.46 |
| 24 | $864.14 | $898.38 | $932.63 | $966.89 | $1,001.15 | $1,035.40 | $1,103.90 | $34.26 |
| 25 | $900.46 | $936.66 | $972.87 | $1,009.07 | $1,045.27 | $1,081.48 | $1,153.87 | $36.20 |
| 26 | $932.73 | $970.71 | $1,008.71 | $1,046.70 | $1,084.65 | $1,122.64 | $1,198.61 | $37.99 |
| 27 | $971.79 | $1,010.99 | $1,050.18 | $1,089.38 | $1,128.57 | $1,167.76 | $1,246.16 | $39.19 |
| 28 | $1,010.30 | $1,051.39 | $1,092.48 | $1,133.57 | $1,174.67 | $1,215.75 | $1,297.94 | $41.09 |
| 29 | $1,047.97 | $1,090.92 | $1,133.89 | $1,176.86 | $1,219.82 | $1,262.78 | $1,348.70 | $42.97 |
| 30 | $1,091.73 | $1,136.55 | $1,181.37 | $1,226.19 | $1,271.01 | $1,315.84 | $1,405.50 | $44.83 |
| 31 | $1,131.75 | $1,178.56 | $1,225.36 | $1,272.14 | $1,318.95 | $1,365.74 | $1,459.33 | $46.79 |
| 32 | $1,175.60 | $1,224.27 | $1,272.94 | $1,321.60 | $1,370.26 | $1,418.94 | $1,516.25 | $48.66 |
| 33 | $1,219.43 | $1,269.97 | $1,320.50 | $1,371.03 | $1,421.59 | $1,472.12 | $1,573.19 | $50.53 |

74
