## Appendix A-2 Biweekly
## Schedule of Biweekly Salary Rates
## Unit 9
## Effective January 2, 2000

| Job Group | Step 1 | Step 2 | Step 3 | Step 4 | Step 5 | Step 6 | Step 7 | Promotion Factor |
|---|---|---|---|---|---|---|---|---|
| 9 | $847.70 | $871.62 | $895.54 | $919.50 | $943.46 | $967.38 | $1,015.28 | $23.94 |
| 10 | $882.74 | $908.22 | $933.72 | $959.22 | $984.70 | $1,010.18 | $1,061.16 | $25.48 |
| 11 | $917.40 | $945.08 | $972.78 | $1,000.46 | $1,028.12 | $1,055.80 | $1,111.18 | $27.68 |
| 12 | $959.36 | $988.34 | $1,017.34 | $1,046.30 | $1,075.28 | $1,104.26 | $1,162.22 | $28.98 |
| 13 | $1,014.44 | $1,044.94 | $1,075.46 | $1,105.98 | $1,136.50 | $1,167.02 | $1,228.02 | $30.50 |
| 14 | $1,065.86 | $1,101.70 | $1,137.58 | $1,173.46 | $1,209.30 | $1,245.16 | $1,316.90 | $35.84 |
| 15 | $1,121.98 | $1,161.10 | $1,200.22 | $1,239.34 | $1,278.44 | $1,317.56 | $1,395.80 | $39.10 |
| 16 | $1,179.64 | $1,223.50 | $1,267.28 | $1,311.12 | $1,354.94 | $1,398.76 | $1,486.44 | $43.84 |
| 17 | $1,247.78 | $1,293.56 | $1,339.32 | $1,385.10 | $1,430.86 | $1,476.62 | $1,568.16 | $45.76 |
| 18 | $1,305.28 | $1,354.72 | $1,404.16 | $1,453.58 | $1,503.02 | $1,552.44 | $1,651.30 | $49.44 |
| 19 | $1,369.96 | $1,423.20 | $1,476.44 | $1,529.70 | $1,582.96 | $1,636.20 | $1,742.70 | $53.24 |
| 20 | $1,440.72 | $1,495.74 | $1,550.76 | $1,605.74 | $1,660.78 | $1,715.82 | $1,825.82 | $55.02 |
| 21 | $1,505.36 | $1,564.54 | $1,623.80 | $1,683.00 | $1,742.18 | $1,801.42 | $1,919.82 | $59.20 |
| 22 | $1,577.74 | $1,640.90 | $1,704.06 | $1,767.22 | $1,830.36 | $1,893.54 | $2,019.84 | $63.16 |
| 23 | $1,655.80 | $1,720.70 | $1,785.58 | $1,850.48 | $1,915.36 | $1,980.28 | $2,110.04 | $64.92 |
| 24 | $1,728.28 | $1,796.76 | $1,865.26 | $1,933.78 | $2,002.30 | $2,070.80 | $2,207.80 | $68.52 |
| 25 | $1,800.92 | $1,873.32 | $1,945.74 | $2,018.14 | $2,090.54 | $2,162.96 | $2,307.74 | $72.40 |
| 26 | $1,865.46 | $1,941.42 | $2,017.42 | $2,093.40 | $2,169.30 | $2,245.28 | $2,397.22 | $75.98 |
| 27 | $1,943.58 | $2,021.98 | $2,100.36 | $2,178.76 | $2,257.14 | $2,335.52 | $2,492.32 | $78.38 |
| 28 | $2,020.60 | $2,102.78 | $2,184.96 | $2,267.14 | $2,349.34 | $2,431.50 | $2,595.88 | $82.18 |
| 29 | $2,095.94 | $2,181.84 | $2,267.78 | $2,353.72 | $2,439.64 | $2,525.56 | $2,697.40 | $85.94 |
| 30 | $2,183.46 | $2,273.10 | $2,362.74 | $2,452.38 | $2,542.02 | $2,631.68 | $2,811.00 | $89.66 |
| 31 | $2,263.50 | $2,357.12 | $2,450.72 | $2,544.28 | $2,637.90 | $2,731.48 | $2,918.66 | $93.58 |
| 32 | $2,351.20 | $2,448.54 | $2,545.88 | $2,643.20 | $2,740.52 | $2,837.88 | $3,032.50 | $97.32 |
| 33 | $2,438.86 | $2,539.94 | $2,641.00 | $2,742.06 | $2,843.18 | $2,944.24 | $3,146.38 | $101.06 |

75
