## Appendix B-1 Weekly
## Schedule of Weekly Salary Rates
## Unit 9
## Effective June 30, 1999

| Job Group | Step 1 | Step 2 | Step 3 | Step 4 | Step 5 | Step 6 | Step 7 | Step 8 | Step 9 | Step 10 | Step 11 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 9 | $411.50 | $419.83 | $428.34 | $437.01 | $445.85 | $454.88 | $464.09 | $473.48 | $483.07 | $492.85 | $502.71 |
| 10 | $428.51 | $437.37 | $446.42 | $455.63 | $465.04 | $474.67 | $484.48 | $494.48 | $504.70 | $515.13 | $525.43 |
| 11 | $445.34 | $454.93 | $464.72 | $474.72 | $484.94 | $495.37 | $506.02 | $516.92 | $528.04 | $539.41 | $550.20 |
| | | | | | | | | | | | |
| 12 | $465.71 | $475.75 | $485.99 | $496.47 | $507.15 | $518.08 | $529.24 | $540.65 | $552.29 | $564.18 | $575.46 |
| 13 | $492.45 | $503.02 | $513.81 | $524.83 | $536.09 | $547.60 | $559.33 | $571.35 | $583.59 | $596.13 | $608.05 |
| 14 | $517.41 | $529.71 | $542.31 | $555.21 | $568.40 | $581.92 | $595.76 | $609.93 | $624.42 | $639.27 | $652.06 |
| | | | | | | | | | | | |
| 15 | $544.65 | $558.02 | $571.73 | $585.78 | $600.16 | $614.90 | $630.01 | $645.48 | $661.34 | $677.57 | $691.12 |
| 16 | $572.64 | $587.54 | $602.82 | $618.52 | $634.61 | $651.11 | $668.05 | $685.45 | $703.27 | $721.57 | $736.00 |
| 17 | $605.72 | $621.29 | $637.28 | $653.66 | $670.48 | $687.71 | $705.41 | $723.55 | $742.15 | $761.24 | $776.46 |
| | | | | | | | | | | | |
| 18 | $633.63 | $650.39 | $667.62 | $685.29 | $703.44 | $722.06 | $741.18 | $760.80 | $780.93 | $801.60 | $817.63 |
| 19 | $665.03 | $683.04 | $701.56 | $720.58 | $740.10 | $760.15 | $780.76 | $801.92 | $823.64 | $845.97 | $862.89 |
| 20 | $699.38 | $718.03 | $737.19 | $756.85 | $777.03 | $797.76 | $819.03 | $840.87 | $863.30 | $886.32 | $904.05 |
| | | | | | | | | | | | |
| 21 | $730.76 | $750.77 | $771.34 | $792.47 | $814.18 | $836.47 | $859.38 | $882.92 | $907.11 | $931.95 | $950.59 |
| 22 | $765.89 | $787.21 | $809.10 | $831.62 | $854.77 | $878.55 | $903.00 | $928.13 | $953.96 | $980.50 | $1,000.11 |
| 23 | $803.79 | $825.73 | $848.27 | $871.43 | $895.24 | $919.66 | $944.77 | $970.57 | $997.07 | $1,024.29 | $1,044.78 |
| | | | | | | | | | | | |
| 24 | $838.97 | $862.11 | $885.89 | $910.32 | $935.44 | $961.22 | $987.75 | $1,014.99 | $1,042.98 | $1,071.75 | $1,093.19 |
| 25 | $874.23 | $898.66 | $923.75 | $949.56 | $976.10 | $1,003.35 | $1,031.39 | $1,060.20 | $1,089.82 | $1,120.26 | $1,142.67 |
| 26 | $905.56 | $931.15 | $957.46 | $984.53 | $1,012.35 | $1,040.96 | $1,070.38 | $1,100.62 | $1,131.72 | $1,163.70 | $1,186.97 |
| | | | | | | | | | | | |
| 27 | $943.49 | $969.93 | $997.09 | $1,025.03 | $1,053.74 | $1,083.27 | $1,113.61 | $1,144.81 | $1,176.88 | $1,209.86 | $1,234.06 |
| 28 | $980.87 | $1,008.56 | $1,037.03 | $1,066.31 | $1,096.41 | $1,127.35 | $1,159.18 | $1,191.90 | $1,225.54 | $1,260.14 | $1,285.34 |
| 29 | $1,017.45 | $1,046.37 | $1,076.13 | $1,106.71 | $1,138.17 | $1,170.53 | $1,203.81 | $1,238.04 | $1,273.23 | $1,309.42 | $1,335.61 |
| | | | | | | | | | | | |
| 30 | $1,059.93 | $1,090.11 | $1,121.13 | $1,153.04 | $1,185.88 | $1,219.64 | $1,254.35 | $1,290.07 | $1,326.78 | $1,364.56 | $1,391.85 |
| 31 | $1,098.79 | $1,130.28 | $1,162.66 | $1,195.95 | $1,230.23 | $1,265.47 | $1,301.71 | $1,339.01 | $1,377.36 | $1,416.83 | $1,445.17 |
| 32 | $1,141.36 | $1,174.09 | $1,207.76 | $1,242.40 | $1,278.03 | $1,314.69 | $1,352.39 | $1,391.16 | $1,431.05 | $1,472.09 | $1,501.53 |
| | | | | | | | | | | | |
| 33 | $1,183.91 | $1,217.89 | $1,252.86 | $1,288.82 | $1,325.82 | $1,363.89 | $1,403.04 | $1,443.31 | $1,484.74 | $1,527.37 | $1,557.92 |

76
