## Appendix B-2 Biweekly
### Schedule of Biweekly Salary Rates
#### Unit 9
##### Effective January 2, 2000

| Job Group | Step 1 | Step 2 | Step 3 | Step 4 | Step 5 | Step 6 | Step 7 | Step 8 | Step 9 | Step 10 | Step 11 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 9 | $847.70 | $864.84 | $882.38 | $900.24 | $918.46 | $937.06 | $956.02 | $975.36 | $995.12 | $1,015.28 | $1,035.58 |
| 10 | $882.74 | $900.98 | $919.62 | $938.60 | $957.98 | $977.82 | $998.02 | $1,018.62 | $1,039.68 | $1,061.16 | $1,082.38 |
| 11 | $917.40 | $937.16 | $957.32 | $977.92 | $998.98 | $1,020.46 | $1,042.40 | $1,064.86 | $1,087.76 | $1,111.18 | $1,133.42 |
| 12 | $959.36 | $980.04 | $1,001.14 | $1,022.72 | $1,044.72 | $1,067.24 | $1,090.24 | $1,113.74 | $1,137.72 | $1,162.22 | $1,185.44 |
| 13 | $1,014.44 | $1,036.22 | $1,058.44 | $1,081.14 | $1,104.34 | $1,128.06 | $1,152.22 | $1,176.98 | $1,202.20 | $1,228.02 | $1,252.58 |
| 14 | $1,065.86 | $1,091.20 | $1,117.16 | $1,143.74 | $1,170.90 | $1,198.76 | $1,227.26 | $1,256.46 | $1,286.30 | $1,316.90 | $1,343.24 |
| 15 | $1,121.98 | $1,149.52 | $1,177.76 | $1,206.70 | $1,236.32 | $1,266.70 | $1,297.82 | $1,329.68 | $1,362.36 | $1,395.80 | $1,423.70 |
| 16 | $1,179.64 | $1,210.34 | $1,241.80 | $1,274.16 | $1,307.30 | $1,341.28 | $1,376.18 | $1,412.02 | $1,448.74 | $1,486.44 | $1,516.16 |
| 17 | $1,247.78 | $1,279.86 | $1,312.80 | $1,346.54 | $1,381.18 | $1,416.68 | $1,453.14 | $1,490.52 | $1,528.82 | $1,568.16 | $1,599.50 |
| 18 | $1,305.28 | $1,339.80 | $1,375.30 | $1,411.70 | $1,449.08 | $1,487.44 | $1,526.84 | $1,567.24 | $1,608.72 | $1,651.30 | $1,684.32 |
| 19 | $1,369.96 | $1,407.06 | $1,445.22 | $1,484.40 | $1,524.60 | $1,565.90 | $1,608.36 | $1,651.96 | $1,696.70 | $1,742.70 | $1,777.56 |
| 20 | $1,440.72 | $1,479.14 | $1,518.62 | $1,559.12 | $1,600.68 | $1,643.38 | $1,687.20 | $1,732.20 | $1,778.40 | $1,825.82 | $1,862.34 |
| 21 | $1,505.36 | $1,546.58 | $1,588.96 | $1,632.48 | $1,677.22 | $1,723.12 | $1,770.32 | $1,818.82 | $1,868.64 | $1,919.82 | $1,958.22 |
| 22 | $1,577.74 | $1,621.66 | $1,666.74 | $1,713.14 | $1,760.82 | $1,809.82 | $1,860.18 | $1,911.94 | $1,965.16 | $2,019.84 | $2,060.22 |
| 23 | $1,655.80 | $1,701.00 | $1,747.44 | $1,795.14 | $1,844.20 | $1,894.50 | $1,946.22 | $1,999.38 | $2,053.96 | $2,110.04 | $2,152.24 |
| 24 | $1,728.28 | $1,775.94 | $1,824.94 | $1,875.26 | $1,927.00 | $1,980.12 | $2,034.76 | $2,090.88 | $2,148.54 | $2,207.80 | $2,251.98 |
| 25 | $1,800.92 | $1,851.24 | $1,902.92 | $1,956.10 | $2,010.76 | $2,066.90 | $2,124.66 | $2,184.02 | $2,245.02 | $2,307.74 | $2,353.90 |
| 26 | $1,865.46 | $1,918.16 | $1,972.36 | $2,028.14 | $2,085.44 | $2,144.38 | $2,204.98 | $2,267.28 | $2,331.34 | $2,397.22 | $2,445.16 |
| 27 | $1,943.58 | $1,998.06 | $2,054.00 | $2,111.56 | $2,170.70 | $2,231.54 | $2,294.04 | $2,358.30 | $2,424.38 | $2,492.32 | $2,542.16 |
| 28 | $2,020.60 | $2,077.64 | $2,136.28 | $2,196.60 | $2,258.60 | $2,322.34 | $2,387.92 | $2,455.32 | $2,524.62 | $2,595.88 | $2,647.80 |
| 29 | $2,095.94 | $2,155.52 | $2,216.82 | $2,279.82 | $2,344.64 | $2,411.30 | $2,479.84 | $2,550.36 | $2,622.86 | $2,697.40 | $2,751.36 |
| 30 | $2,183.46 | $2,245.62 | $2,309.52 | $2,375.26 | $2,442.92 | $2,512.46 | $2,583.96 | $2,657.54 | $2,733.16 | $2,811.00 | $2,867.22 |
| 31 | $2,263.50 | $2,328.38 | $2,395.08 | $2,463.66 | $2,534.28 | $2,606.86 | $2,681.52 | $2,758.36 | $2,837.36 | $2,918.66 | $2,977.06 |
| 32 | $2,351.20 | $2,418.62 | $2,487.98 | $2,559.34 | $2,632.74 | $2,708.26 | $2,785.92 | $2,865.78 | $2,947.96 | $3,032.50 | $3,093.16 |
| 33 | $2,438.86 | $2,508.86 | $2,580.90 | $2,654.96 | $2,731.18 | $2,809.62 | $2,890.26 | $2,973.22 | $3,058.56 | $3,146.38 | $3,209.32 |
