## Appendix B-5 Weekly
Schedule of Weekly Salary Rates
Unit 9
Effective January 7, 2001

| Job Group | Step 1 | Step 2 | Step 3 | Step 4 | Step 5 | Step 6 | Step 7 | Step 8 | Step 9 | Step 10 | Step 11 | Step 12 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 9 | $436.57 | $445.39 | $454.43 | $463.62 | $473.01 | $482.59 | $492.35 | $502.31 | $512.49 | $522.87 | $533.32 | $543.99 |
| 10 | $454.61 | $464.00 | $473.60 | $483.38 | $493.36 | $503.58 | $513.98 | $524.59 | $535.44 | $546.50 | $557.43 | $568.57 |
| 11 | $472.46 | $482.64 | $493.02 | $503.63 | $514.47 | $525.54 | $536.84 | $548.40 | $560.20 | $572.26 | $583.71 | $595.38 |
| 12 | $494.07 | $504.72 | $515.59 | $526.70 | $538.03 | $549.63 | $561.47 | $573.58 | $585.93 | $598.54 | $610.50 | $622.71 |
| 13 | $522.44 | $533.65 | $545.10 | $556.79 | $568.74 | $580.95 | $593.39 | $606.14 | $619.13 | $632.43 | $645.08 | $657.98 |
| 14 | $548.92 | $561.97 | $575.34 | $589.03 | $603.01 | $617.36 | $632.04 | $647.08 | $662.44 | $678.20 | $691.77 | $705.60 |
| 15 | $577.82 | $592.00 | $606.55 | $621.45 | $636.70 | $652.35 | $668.38 | $684.79 | $701.62 | $718.84 | $733.21 | $747.87 |
| 16 | $607.51 | $623.33 | $639.53 | $656.19 | $673.26 | $690.76 | $708.73 | $727.19 | $746.10 | $765.52 | $780.82 | $796.44 |
| 17 | $642.61 | $659.13 | $676.09 | $693.47 | $711.31 | $729.59 | $748.37 | $767.62 | $787.34 | $807.60 | $823.74 | $840.22 |
| 18 | $672.22 | $690.00 | $708.28 | $727.03 | $746.28 | $766.03 | $786.32 | $807.13 | $828.49 | $850.42 | $867.42 | $884.77 |
| 19 | $705.53 | $724.64 | $744.29 | $764.47 | $785.17 | $806.44 | $828.31 | $850.76 | $873.80 | $897.49 | $915.44 | $933.76 |
| 20 | $741.97 | $761.76 | $782.09 | $802.95 | $824.35 | $846.34 | $868.91 | $892.08 | $915.88 | $940.30 | $959.11 | $978.28 |
| 21 | $775.26 | $796.49 | $818.31 | $840.73 | $863.77 | $887.41 | $911.71 | $936.69 | $962.35 | $988.71 | $1,008.48 | $1,028.65 |
| 22 | $812.54 | $835.15 | $858.37 | $882.27 | $906.82 | $932.06 | $957.99 | $984.65 | $1,012.06 | $1,040.22 | $1,061.01 | $1,082.23 |
| 23 | $852.74 | $876.02 | $899.93 | $924.50 | $949.76 | $975.67 | $1,002.30 | $1,029.68 | $1,057.79 | $1,086.67 | $1,108.40 | $1,130.57 |
| 24 | $890.06 | $914.61 | $939.84 | $965.76 | $992.41 | $1,019.76 | $1,047.90 | $1,076.80 | $1,106.50 | $1,137.02 | $1,159.77 | $1,182.97 |
| 25 | $927.47 | $953.39 | $980.00 | $1,007.39 | $1,035.54 | $1,064.45 | $1,094.20 | $1,124.77 | $1,156.19 | $1,188.49 | $1,212.26 | $1,236.50 |
| 26 | $960.71 | $987.85 | $1,015.77 | $1,044.49 | $1,074.00 | $1,104.36 | $1,135.56 | $1,167.65 | $1,200.64 | $1,234.57 | $1,259.26 | $1,284.44 |
| 27 | $1,000.94 | $1,029.00 | $1,057.81 | $1,087.45 | $1,117.91 | $1,149.24 | $1,181.43 | $1,214.52 | $1,248.56 | $1,283.54 | $1,309.21 | $1,335.40 |
| 28 | $1,040.61 | $1,069.98 | $1,100.18 | $1,131.25 | $1,163.18 | $1,196.01 | $1,229.78 | $1,264.49 | $1,300.18 | $1,336.88 | $1,363.62 | $1,390.89 |
| 29 | $1,079.41 | $1,110.09 | $1,141.66 | $1,174.11 | $1,207.49 | $1,241.82 | $1,277.12 | $1,313.44 | $1,350.77 | $1,389.16 | $1,416.95 | $1,445.29 |
| 30 | $1,124.48 | $1,156.49 | $1,189.40 | $1,223.26 | $1,258.10 | $1,293.92 | $1,330.74 | $1,368.63 | $1,407.58 | $1,447.67 | $1,476.62 | $1,506.15 |
| 31 | $1,165.70 | $1,199.12 | $1,233.47 | $1,268.78 | $1,305.15 | $1,342.53 | $1,380.98 | $1,420.56 | $1,461.24 | $1,503.11 | $1,533.19 | $1,563.85 |
| 32 | $1,210.87 | $1,245.59 | $1,281.31 | $1,318.06 | $1,355.86 | $1,394.75 | $1,434.75 | $1,475.88 | $1,518.20 | $1,561.74 | $1,592.98 | $1,624.84 |
| 33 | $1,256.01 | $1,292.06 | $1,329.16 | $1,367.30 | $1,406.56 | $1,446.95 | $1,488.48 | $1,531.21 | $1,575.16 | $1,620.39 | $1,652.80 | $1,685.85 |

83
