## Appendix B-5 Biweekly
## Schedule of Biweekly Salary Rates
## Unit 9
### Effective January 7, 2001

| Job Group | Step 1 | Step 2 | Step 3 | Step 4 | Step 5 | Step 6 | Step 7 | Step 8 | Step 9 | Step 10 | Step 11 | Step 12 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 9 | $873.14 | $890.78 | $908.86 | $927.24 | $946.02 | $965.18 | $984.70 | $1,004.62 | $1,024.98 | $1,045.74 | $1,066.64 | $1,087.98 |
| 10 | $909.22 | $928.00 | $947.20 | $966.76 | $986.72 | $1,007.16 | $1,027.96 | $1,049.18 | $1,070.88 | $1,093.00 | $1,114.86 | $1,137.14 |
| 11 | $944.92 | $965.28 | $986.04 | $1,007.26 | $1,028.94 | $1,051.08 | $1,073.68 | $1,096.80 | $1,120.40 | $1,144.52 | $1,167.42 | $1,190.76 |
| 12 | $988.14 | $1,009.44 | $1,031.18 | $1,053.40 | $1,076.06 | $1,099.26 | $1,122.94 | $1,147.16 | $1,171.86 | $1,197.08 | $1,221.00 | $1,245.42 |
| 13 | $1,044.88 | $1,067.30 | $1,090.20 | $1,113.58 | $1,137.48 | $1,161.90 | $1,186.78 | $1,212.28 | $1,238.26 | $1,264.86 | $1,290.16 | $1,315.96 |
| 14 | $1,097.84 | $1,123.94 | $1,150.68 | $1,178.06 | $1,206.02 | $1,234.72 | $1,264.08 | $1,294.16 | $1,324.88 | $1,356.40 | $1,383.54 | $1,411.20 |
| 15 | $1,155.64 | $1,184.00 | $1,213.10 | $1,242.90 | $1,273.40 | $1,304.70 | $1,336.76 | $1,369.58 | $1,403.24 | $1,437.68 | $1,466.42 | $1,495.74 |
| 16 | $1,215.02 | $1,246.66 | $1,279.06 | $1,312.38 | $1,346.52 | $1,381.52 | $1,417.46 | $1,454.38 | $1,492.20 | $1,531.04 | $1,561.64 | $1,592.88 |
| 17 | $1,285.22 | $1,318.26 | $1,352.18 | $1,386.94 | $1,422.62 | $1,459.18 | $1,496.74 | $1,535.24 | $1,574.68 | $1,615.20 | $1,647.48 | $1,680.44 |
| 18 | $1,344.44 | $1,380.00 | $1,416.56 | $1,454.06 | $1,492.56 | $1,532.06 | $1,572.64 | $1,614.26 | $1,656.98 | $1,700.84 | $1,734.84 | $1,769.54 |
| 19 | $1,411.06 | $1,449.28 | $1,488.58 | $1,528.94 | $1,570.34 | $1,612.88 | $1,656.62 | $1,701.52 | $1,747.60 | $1,794.98 | $1,830.88 | $1,867.52 |
| 20 | $1,483.94 | $1,523.52 | $1,564.18 | $1,605.90 | $1,648.70 | $1,692.68 | $1,737.82 | $1,784.16 | $1,831.76 | $1,880.60 | $1,918.22 | $1,956.56 |
| 21 | $1,550.52 | $1,592.98 | $1,636.62 | $1,681.46 | $1,727.54 | $1,774.82 | $1,823.42 | $1,873.38 | $1,924.70 | $1,977.42 | $2,016.96 | $2,057.30 |
| 22 | $1,625.08 | $1,670.30 | $1,716.74 | $1,764.54 | $1,813.64 | $1,864.12 | $1,915.98 | $1,969.30 | $2,024.12 | $2,080.44 | $2,122.02 | $2,164.46 |
| 23 | $1,705.48 | $1,752.04 | $1,799.86 | $1,849.00 | $1,899.52 | $1,951.34 | $2,004.60 | $2,059.36 | $2,115.58 | $2,173.34 | $2,216.80 | $2,261.14 |
| 24 | $1,780.12 | $1,829.22 | $1,879.68 | $1,931.52 | $1,984.82 | $2,039.52 | $2,095.80 | $2,153.60 | $2,213.00 | $2,274.04 | $2,319.54 | $2,365.94 |
| 25 | $1,854.94 | $1,906.78 | $1,960.00 | $2,014.78 | $2,071.08 | $2,128.90 | $2,188.40 | $2,249.54 | $2,312.38 | $2,376.98 | $2,424.52 | $2,473.00 |
| 26 | $1,921.42 | $1,975.70 | $2,031.54 | $2,088.98 | $2,148.00 | $2,208.72 | $2,271.12 | $2,335.30 | $2,401.28 | $2,469.14 | $2,518.52 | $2,568.88 |
| 27 | $2,001.88 | $2,058.00 | $2,115.62 | $2,174.90 | $2,235.82 | $2,298.48 | $2,362.86 | $2,429.04 | $2,497.12 | $2,567.08 | $2,618.42 | $2,670.80 |
| 28 | $2,081.22 | $2,139.96 | $2,200.36 | $2,262.50 | $2,326.36 | $2,392.02 | $2,459.56 | $2,528.98 | $2,600.36 | $2,673.76 | $2,727.24 | $2,781.78 |
| 29 | $2,158.82 | $2,220.18 | $2,283.32 | $2,348.22 | $2,414.98 | $2,483.64 | $2,554.24 | $2,626.88 | $2,701.54 | $2,778.32 | $2,833.90 | $2,890.58 |
| 30 | $2,248.96 | $2,312.98 | $2,378.80 | $2,446.52 | $2,516.20 | $2,587.84 | $2,661.48 | $2,737.26 | $2,815.16 | $2,895.34 | $2,953.24 | $3,012.30 |
| 31 | $2,331.40 | $2,398.24 | $2,466.94 | $2,537.56 | $2,610.30 | $2,685.06 | $2,761.96 | $2,841.12 | $2,922.48 | $3,006.22 | $3,066.38 | $3,127.70 |
| 32 | $2,421.74 | $2,491.18 | $2,562.62 | $2,636.12 | $2,711.72 | $2,789.50 | $2,869.50 | $2,951.76 | $3,036.40 | $3,123.48 | $3,185.96 | $3,249.68 |
| 33 | $2,512.02 | $2,584.12 | $2,658.32 | $2,734.60 | $2,813.12 | $2,893.90 | $2,976.96 | $3,062.42 | $3,150.32 | $3,240.78 | $3,305.60 | $3,371.70 |

84
