## Appendix B-6 Biweekly
## Schedule of Biweekly Salary Rates
## Unit 9
Effective January 6, 2002

| Job Group | Step 1 | Step 2 | Step 3 | Step 4 | Step 5 | Step 6 | Step 7 | Step 8 | Step 9 | Step 10 | Step 11 | Step 12 |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 9 | $894.96 | $913.04 | $931.58 | $950.42 | $969.68 | $989.30 | $1,009.32 | $1,029.74 | $1,050.60 | $1,071.88 | $1,093.30 | $1,115.18 |
| 10 | $931.96 | $951.20 | $970.88 | $990.92 | $1,011.38 | $1,032.34 | $1,053.66 | $1,075.40 | $1,097.64 | $1,120.32 | $1,142.72 | $1,165.56 |
| 11 | $968.54 | $989.40 | $1,010.70 | $1,032.44 | $1,054.68 | $1,077.36 | $1,100.52 | $1,124.22 | $1,148.40 | $1,173.12 | $1,196.60 | $1,220.54 |
| 12 | $1,012.84 | $1,034.68 | $1,056.96 | $1,079.74 | $1,102.96 | $1,126.74 | $1,151.02 | $1,175.84 | $1,201.14 | $1,227.02 | $1,251.52 | $1,276.54 |
| 13 | $1,071.00 | $1,093.98 | $1,117.44 | $1,141.42 | $1,165.90 | $1,190.94 | $1,216.46 | $1,242.60 | $1,269.22 | $1,296.48 | $1,322.42 | $1,348.86 |
| 14 | $1,125.28 | $1,152.04 | $1,179.44 | $1,207.50 | $1,236.18 | $1,265.60 | $1,295.68 | $1,326.50 | $1,358.02 | $1,390.32 | $1,418.12 | $1,446.48 |
| 15 | $1,184.54 | $1,213.60 | $1,243.42 | $1,273.98 | $1,305.24 | $1,337.32 | $1,370.18 | $1,403.80 | $1,438.32 | $1,473.62 | $1,503.08 | $1,533.14 |
| 16 | $1,245.40 | $1,277.82 | $1,311.04 | $1,345.20 | $1,380.18 | $1,416.06 | $1,452.90 | $1,490.74 | $1,529.50 | $1,569.30 | $1,600.68 | $1,632.70 |
| 17 | $1,317.34 | $1,351.22 | $1,385.98 | $1,421.60 | $1,458.18 | $1,495.66 | $1,534.16 | $1,573.62 | $1,614.06 | $1,655.58 | $1,688.68 | $1,722.46 |
| 18 | $1,378.04 | $1,414.50 | $1,451.98 | $1,490.40 | $1,529.86 | $1,570.36 | $1,611.96 | $1,654.62 | $1,698.40 | $1,743.36 | $1,778.22 | $1,813.78 |
| 19 | $1,446.34 | $1,485.50 | $1,525.80 | $1,567.16 | $1,609.60 | $1,653.20 | $1,698.02 | $1,744.06 | $1,791.30 | $1,839.86 | $1,876.66 | $1,914.20 |
| 20 | $1,521.04 | $1,561.60 | $1,603.28 | $1,646.04 | $1,689.92 | $1,735.00 | $1,781.26 | $1,828.78 | $1,877.54 | $1,927.60 | $1,966.16 | $2,005.48 |
| 21 | $1,589.28 | $1,632.80 | $1,677.54 | $1,723.50 | $1,770.72 | $1,819.18 | $1,869.02 | $1,920.22 | $1,972.82 | $2,026.84 | $2,067.40 | $2,108.74 |
| 22 | $1,665.70 | $1,712.06 | $1,759.66 | $1,808.64 | $1,858.98 | $1,910.72 | $1,963.88 | $2,018.54 | $2,074.72 | $2,132.44 | $2,175.08 | $2,218.58 |
| 23 | $1,748.12 | $1,795.84 | $1,844.86 | $1,895.22 | $1,947.02 | $2,000.12 | $2,054.72 | $2,110.84 | $2,168.46 | $2,227.68 | $2,272.22 | $2,317.66 |
| 24 | $1,824.64 | $1,874.94 | $1,926.68 | $1,979.80 | $2,034.44 | $2,090.52 | $2,148.20 | $2,207.44 | $2,268.32 | $2,330.88 | $2,377.52 | $2,425.08 |
| 25 | $1,901.32 | $1,954.44 | $2,009.00 | $2,065.16 | $2,122.86 | $2,182.12 | $2,243.10 | $2,305.78 | $2,370.18 | $2,436.40 | $2,485.12 | $2,534.84 |
| 26 | $1,969.46 | $2,025.10 | $2,082.32 | $2,141.20 | $2,201.70 | $2,263.92 | $2,327.90 | $2,393.68 | $2,461.32 | $2,530.86 | $2,581.48 | $2,633.10 |
| 27 | $2,051.94 | $2,109.46 | $2,168.52 | $2,229.28 | $2,291.72 | $2,355.94 | $2,421.94 | $2,489.78 | $2,559.54 | $2,631.26 | $2,683.88 | $2,737.56 |
| 28 | $2,133.24 | $2,193.46 | $2,255.38 | $2,319.06 | $2,384.52 | $2,451.82 | $2,521.04 | $2,592.20 | $2,665.36 | $2,740.60 | $2,795.42 | $2,851.32 |
| 29 | $2,212.78 | $2,275.70 | $2,340.40 | $2,406.92 | $2,475.36 | $2,545.72 | $2,618.10 | $2,692.54 | $2,769.08 | $2,847.78 | $2,904.74 | $2,962.84 |
| 30 | $2,305.18 | $2,370.82 | $2,438.28 | $2,507.68 | $2,579.12 | $2,652.52 | $2,728.02 | $2,805.70 | $2,885.54 | $2,967.72 | $3,027.06 | $3,087.60 |
| 31 | $2,389.70 | $2,458.18 | $2,528.60 | $2,601.00 | $2,675.56 | $2,752.20 | $2,831.02 | $2,912.14 | $2,995.54 | $3,081.38 | $3,143.04 | $3,205.90 |
| 32 | $2,482.28 | $2,553.46 | $2,626.68 | $2,702.02 | $2,779.52 | $2,859.24 | $2,941.24 | $3,025.54 | $3,112.30 | $3,201.56 | $3,265.60 | $3,330.92 |
| 33 | $2,574.82 | $2,648.72 | $2,724.78 | $2,802.98 | $2,883.44 | $2,966.26 | $3,051.40 | $3,138.98 | $3,229.08 | $3,321.80 | $3,388.24 | $3,456.00 |

68
