## Appendix B-7 Weekly
## Schedule of Weekly Salary Rates
## Unit 9
## Effective December 31, 2002

| Job Group | Step 1 | Step 2 | Step 3 | Step 4 | Step 5 | Step 6 | Step 7 | Step 8 | Step 9 | Step 10 | Step 11 | Step 12 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 9 | $447.48 | $456.52 | $465.79 | $475.21 | $484.84 | $494.65 | $504.66 | $514.87 | $525.30 | $535.94 | $546.65 | $560.38 |
| 10 | $465.98 | $475.60 | $485.44 | $495.46 | $505.69 | $516.17 | $526.83 | $537.70 | $548.82 | $560.16 | $571.36 | $585.69 |
| 11 | $484.27 | $494.70 | $505.35 | $516.22 | $527.34 | $538.68 | $550.26 | $562.11 | $574.20 | $586.56 | $598.30 | $613.32 |
| 12 | $506.42 | $517.34 | $528.48 | $539.87 | $551.48 | $563.37 | $575.51 | $587.92 | $600.57 | $613.51 | $625.76 | $641.46 |
| 13 | $535.50 | $546.99 | $558.72 | $570.71 | $582.95 | $595.47 | $608.23 | $621.30 | $634.61 | $648.24 | $661.21 | $677.80 |
| 14 | $562.64 | $576.02 | $589.72 | $603.75 | $618.09 | $632.80 | $647.84 | $663.25 | $679.01 | $695.16 | $709.06 | $726.86 |
| 15 | $592.27 | $606.80 | $621.71 | $636.99 | $652.62 | $668.66 | $685.09 | $701.90 | $719.16 | $736.81 | $751.54 | $770.40 |
| 16 | $622.70 | $638.91 | $655.52 | $672.60 | $690.09 | $708.03 | $726.45 | $745.37 | $764.75 | $784.65 | $800.34 | $820.43 |
| 17 | $658.67 | $675.61 | $692.99 | $710.80 | $729.09 | $747.83 | $767.08 | $786.81 | $807.03 | $827.79 | $844.34 | $865.54 |
| 18 | $689.02 | $707.25 | $725.99 | $745.20 | $764.93 | $785.18 | $805.98 | $827.31 | $849.20 | $871.68 | $889.11 | $911.42 |
| 19 | $723.17 | $742.75 | $762.90 | $783.58 | $804.80 | $826.60 | $849.01 | $872.03 | $895.65 | $919.93 | $938.33 | $961.89 |
| 20 | $760.52 | $780.80 | $801.64 | $823.02 | $844.96 | $867.50 | $890.63 | $914.39 | $938.77 | $963.80 | $983.08 | $1,007.75 |
| 21 | $794.64 | $816.40 | $838.77 | $861.75 | $885.36 | $909.59 | $934.51 | $960.11 | $986.41 | $1,013.42 | $1,033.70 | $1,059.64 |
| 22 | $832.85 | $856.03 | $879.83 | $904.32 | $929.49 | $955.36 | $981.94 | $1,009.27 | $1,037.36 | $1,066.22 | $1,087.54 | $1,114.84 |
| 23 | $874.06 | $897.92 | $922.43 | $947.61 | $973.51 | $1,000.06 | $1,027.36 | $1,055.42 | $1,084.23 | $1,113.84 | $1,136.11 | $1,164.62 |
| 24 | $912.32 | $937.47 | $963.34 | $989.90 | $1,017.22 | $1,045.26 | $1,074.10 | $1,103.72 | $1,134.16 | $1,165.44 | $1,188.76 | $1,218.60 |
| 25 | $950.66 | $977.22 | $1,004.50 | $1,032.58 | $1,061.43 | $1,091.06 | $1,121.55 | $1,152.89 | $1,185.09 | $1,218.20 | $1,242.56 | $1,273.76 |
| 26 | $984.73 | $1,012.55 | $1,041.16 | $1,070.60 | $1,100.85 | $1,131.96 | $1,163.95 | $1,196.84 | $1,230.66 | $1,265.43 | $1,290.74 | $1,323.13 |
| 27 | $1,025.97 | $1,054.73 | $1,084.26 | $1,114.64 | $1,145.86 | $1,177.97 | $1,210.97 | $1,244.89 | $1,279.77 | $1,315.63 | $1,341.94 | $1,375.62 |
| 28 | $1,066.62 | $1,096.73 | $1,127.69 | $1,159.53 | $1,192.26 | $1,225.91 | $1,260.52 | $1,296.10 | $1,332.68 | $1,370.30 | $1,397.71 | $1,432.79 |
| 29 | $1,106.39 | $1,137.85 | $1,170.20 | $1,203.46 | $1,237.68 | $1,272.86 | $1,309.05 | $1,346.27 | $1,384.54 | $1,423.89 | $1,452.37 | $1,488.83 |
| 30 | $1,152.59 | $1,185.41 | $1,219.14 | $1,253.84 | $1,289.56 | $1,326.26 | $1,364.01 | $1,402.85 | $1,442.77 | $1,483.86 | $1,513.53 | $1,551.52 |
| 31 | $1,194.85 | $1,229.09 | $1,264.30 | $1,300.50 | $1,337.78 | $1,376.10 | $1,415.51 | $1,456.07 | $1,497.77 | $1,540.69 | $1,571.52 | $1,610.96 |
| 32 | $1,241.14 | $1,276.73 | $1,313.34 | $1,351.01 | $1,389.76 | $1,429.62 | $1,470.62 | $1,512.77 | $1,556.15 | $1,600.78 | $1,632.80 | $1,673.79 |
| 33 | $1,287.41 | $1,324.36 | $1,362.39 | $1,401.49 | $1,441.72 | $1,483.13 | $1,525.70 | $1,569.49 | $1,614.54 | $1,660.90 | $1,694.12 | $1,736.64 |

87
