## Appendix A

## COMMONWEALTH OF PENNSYLVANIA
## 37½ HOUR STANDARD PAY SCHEDULE
## EFFECTIVE JULY 1, 2002
## SCHEDULE S

| PAY STEP | PAY RANGE 1 | PAY RANGE 2 | PAY RANGE 3 | PAY RANGE 4 | PAY RANGE 5 | PAY RANGE 6 | PAY RANGE 7 | PAY RANGE 8 | PAY RANGE 9 | PAY RANGE 10 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **11** | Hourly 11.15 | 12.55 | 14.18 | 16.03 | 18.27 | 20.84 | 23.81 | 27.18 | 30.98 | 35.39 |
| | Biweekly **836.25** | **941.25** | **1,063.50** | **1,202.25** | **1,370.25** | **1,563.00** | **1,785.75** | **2,038.50** | **2,323.50** | **2,654.25** |
| | Annual* 21,809 | 24,548 | 27,736 | 31,355 | 35,736 | 40,763 | 46,572 | 53,164 | 60,597 | 69,223 |
| **12** | Hourly 11.37 | 12.83 | 14.48 | 16.38 | 18.66 | 21.33 | 24.34 | 27.76 | 31.69 | 36.16 |
| | Biweekly **852.75** | **962.25** | **1,086.00** | **1,228.50** | **1,399.50** | **1,599.75** | **1,825.50** | **2,082.00** | **2,376.75** | **2,712.00** |
| | Annual* 22,240 | 25,095 | 28,323 | 32,039 | 36,499 | 41,721 | 47,609 | 54,299 | 61,986 | 70,729 |
| **13** | Hourly 11.62 | 13.10 | 14.78 | 16.73 | 19.10 | 21.79 | 24.87 | 28.39 | 32.41 | 36.99 |
| | Biweekly **871.50** | **982.50** | **1,108.50** | **1,254.75** | **1,432.50** | **1,634.25** | **1,865.25** | **2,129.25** | **2,430.75** | **2,774.25** |
| | Annual* 22,729 | 25,624 | 28,910 | 32,724 | 37,360 | 42,621 | 48,646 | 55,531 | 63,394 | 72,352 |
| **14** | Hourly 11.83 | 13.35 | 15.10 | 17.09 | 19.53 | 22.27 | 25.42 | 29.02 | 33.11 | 37.81 |
| | Biweekly **887.25** | **1,001.25** | **1,132.50** | **1,281.75** | **1,464.75** | **1,670.25** | **1,906.50** | **2,176.50** | **2,483.25** | **2,835.75** |
| | Annual* 23,139 | 26,113 | 29,536 | 33,428 | 38,201 | 43,560 | 49,722 | 56,763 | 64,763 | 73,956 |
| **15** | Hourly 12.08 | 13.63 | 15.39 | 17.45 | 19.94 | 22.78 | 26.00 | 29.67 | 33.85 | 38.65 |
| | Biweekly **906.00** | **1,022.25** | **1,154.25** | **1,308.75** | **1,495.50** | **1,708.50** | **1,950.00** | **2,225.25** | **2,538.75** | **2,898.75** |
| | Annual* 23,628 | 26,660 | 30,103 | 34,132 | 39,003 | 44,558 | 50,856 | 58,035 | 66,211 | 75,599 |
| **16** | Hourly 12.34 | 13.93 | 15.71 | 17.85 | 20.39 | 23.30 | 26.57 | 30.32 | 34.60 | 39.50 |
| | Biweekly **925.50** | **1,044.75** | **1,178.25** | **1,338.75** | **1,529.25** | **1,747.50** | **1,992.75** | **2,274.00** | **2,595.00** | **2,962.50** |
| | Annual* 24,137 | 27,247 | 30,729 | 34,915 | 39,883 | 45,575 | 51,971 | 59,306 | 67,678 | 77,262 |
| **17** | Hourly 12.55 | 14.18 | 16.03 | 18.27 | 20.84 | 23.81 | 27.18 | 30.98 | 35.39 | 40.41 |
| | Biweekly **941.25** | **1,063.50** | **1,202.25** | **1,370.25** | **1,563.00** | **1,785.75** | **2,038.50** | **2,323.50** | **2,654.25** | **3,030.75** |
| | Annual* 24,548 | 27,736 | 31,355 | 35,736 | 40,763 | 46,572 | 53,164 | 60,597 | 69,223 | 79,042 |
| **18** | Hourly 12.83 | 14.48 | 16.38 | 18.66 | 21.33 | 24.34 | 27.76 | 31.69 | 36.16 | 41.30 |
| | Biweekly **962.25** | **1,086.00** | **1,228.50** | **1,399.50** | **1,599.75** | **1,825.50** | **2,082.00** | **2,376.75** | **2,712.00** | **3,097.50** |
| | Annual* 25,095 | 28,323 | 32,039 | 36,499 | 41,721 | 47,609 | 54,299 | 61,986 | 70,729 | 80,783 |
| **19** | Hourly 13.10 | 14.78 | 16.73 | 19.10 | 21.79 | 24.87 | 28.39 | 32.41 | 36.99 | 42.21 |
| | Biweekly **982.50** | **1,108.50** | **1,254.75** | **1,432.50** | **1,634.25** | **1,865.25** | **2,129.25** | **2,430.75** | **2,774.25** | **3,165.75** |
| | Annual* 25,624 | 28,910 | 32,724 | 37,360 | 42,621 | 48,646 | 55,531 | 63,394 | 72,352 | 82,563 |
| **20** | Hourly 13.35 | 15.10 | 17.09 | 19.53 | 22.27 | 25.42 | 29.02 | 33.11 | 37.81 | 43.15 |
| | Biweekly **1,001.25** | **1,132.50** | **1,281.75** | **1,464.75** | **1,670.25** | **1,906.50** | **2,176.50** | **2,483.25** | **2,835.75** | **3,236.25** |
| | Annual* 26,113 | 29,536 | 33,428 | 38,201 | 43,560 | 49,722 | 56,763 | 64,763 | 73,956 | 84,401 |

* Approximate annual rate is derived by multiplying the biweekly rate by 26.08 and rounding to the nearest dollar.

Page 2 of 4
