## Appendix A

# COMMONWEALTH OF PENNSYLVANIA
## 40 HOUR STANDARD PAY SCHEDULE
### EFFECTIVE JULY 1, 2002
## SCHEDULE S

| PAY STEP | PAY RANGE 1 | PAY RANGE 2 | PAY RANGE 3 | PAY RANGE 4 | PAY RANGE 5 | PAY RANGE 6 | PAY RANGE 7 | PAY RANGE 8 | PAY RANGE 9 |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| **1** | Hourly 9.16 | 10.31 | 11.62 | 13.10 | 14.78 | 16.73 | 19.10 | 21.79 | 24.87 |
| | Biweekly **732.80** | **824.80** | **929.60** | **1,048.00** | **1,182.40** | **1,338.40** | **1,528.00** | **1,743.20** | **1,989.60** |
| | Annual* 19,111 | 21,511 | 24,244 | 27,332 | 30,837 | 34,905 | 39,850 | 45,463 | 51,889 |
| **2** | Hourly 9.35 | 10.52 | 11.83 | 13.35 | 15.10 | 17.09 | 19.53 | 22.27 | 25.42 |
| | Biweekly **748.00** | **841.60** | **946.40** | **1,068.00** | **1,208.00** | **1,367.20** | **1,562.40** | **1,781.60** | **2,033.60** |
| | Annual* 19,508 | 21,949 | 24,682 | 27,853 | 31,505 | 35,657 | 40,747 | 46,464 | 53,036 |
| **3** | Hourly 9.53 | 10.71 | 12.08 | 13.63 | 15.39 | 17.45 | 19.94 | 22.78 | 26.00 |
| | Biweekly **762.40** | **856.80** | **966.40** | **1,090.40** | **1,231.20** | **1,396.00** | **1,595.20** | **1,822.40** | **2,080.00** |
| | Annual* 19,883 | 22,345 | 25,204 | 28,438 | 32,110 | 36,408 | 41,603 | 47,528 | 54,246 |
| **4** | Hourly 9.72 | 10.94 | 12.34 | 13.93 | 15.71 | 17.85 | 20.39 | 23.30 | 26.57 |
| | Biweekly **777.60** | **875.20** | **987.20** | **1,114.40** | **1,256.80** | **1,428.00** | **1,631.20** | **1,864.00** | **2,125.60** |
| | Annual* 20,280 | 22,825 | 25,746 | 29,064 | 32,777 | 37,242 | 42,542 | 48,613 | 55,436 |
| **5** | Hourly 9.90 | 11.15 | 12.55 | 14.18 | 16.03 | 18.27 | 20.84 | 23.81 | 27.18 |
| | Biweekly **792.00** | **892.00** | **1,004.00** | **1,134.40** | **1,282.40** | **1,461.60** | **1,667.20** | **1,904.80** | **2,174.40** |
| | Annual* 20,655 | 23,263 | 26,184 | 29,585 | 33,445 | 38,119 | 43,481 | 49,677 | 56,708 |
| **6** | Hourly 10.10 | 11.37 | 12.83 | 14.48 | 16.38 | 18.66 | 21.33 | 24.34 | 27.76 |
| | Biweekly **808.00** | **909.60** | **1,026.40** | **1,158.40** | **1,310.40** | **1,492.80** | **1,706.40** | **1,947.20** | **2,220.80** |
| | Annual* 21,073 | 23,722 | 26,769 | 30,211 | 34,175 | 38,932 | 44,503 | 50,783 | 57,918 |
| **7** | Hourly 10.31 | 11.62 | 13.10 | 14.78 | 16.73 | 19.10 | 21.79 | 24.87 | 28.39 |
| | Biweekly **824.80** | **929.60** | **1,048.00** | **1,182.40** | **1,338.40** | **1,528.00** | **1,743.20** | **1,989.60** | **2,271.20** |
| | Annual* 21,511 | 24,244 | 27,332 | 30,837 | 34,905 | 39,850 | 45,463 | 51,889 | 59,233 |
| **8** | Hourly 10.52 | 11.83 | 13.35 | 15.10 | 17.09 | 19.53 | 22.27 | 25.42 | 29.02 |
| | Biweekly **841.60** | **946.40** | **1,068.00** | **1,208.00** | **1,367.20** | **1,562.40** | **1,781.60** | **2,033.60** | **2,321.60** |
| | Annual* 21,949 | 24,682 | 27,853 | 31,505 | 35,657 | 40,747 | 46,464 | 53,036 | 60,547 |
| **9** | Hourly 10.71 | 12.08 | 13.63 | 15.39 | 17.45 | 19.94 | 22.78 | 26.00 | 29.67 |
| | Biweekly **856.80** | **966.40** | **1,090.40** | **1,231.20** | **1,396.00** | **1,595.20** | **1,822.40** | **2,080.00** | **2,373.60** |
| | Annual* 22,345 | 25,204 | 28,438 | 32,110 | 36,408 | 41,603 | 47,528 | 54,246 | 61,903 |
| **10** | Hourly 10.94 | 12.34 | 13.93 | 15.71 | 17.85 | 20.39 | 23.30 | 26.57 | 30.32 |
| | Biweekly **875.20** | **987.20** | **1,114.40** | **1,256.80** | **1,428.00** | **1,631.20** | **1,864.00** | **2,125.60** | **2,425.60** |
| | Annual* 22,825 | 25,746 | 29,064 | 32,777 | 37,242 | 42,542 | 48,613 | 55,436 | 63,260 |

Page 3 of 4
