## Appendix B

## COMMONWEALTH OF PENNSYLVANIA
## 37 1/2 HOUR STANDARD PAY SCHEDULE
## EFFECTIVE JULY 1, 2005
## SCHEDULE S

| PAY STEP | PAY RANGE 1 | PAY RANGE 2 | PAY RANGE 3 | PAY RANGE 4 | PAY RANGE 5 | PAY RANGE 6 | PAY RANGE 7 | PAY RANGE 8 | PAY RANGE 9 | PAY RANGE 10 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **1** | Hourly | 9.43 | 10.62 | 11.97 | 13.49 | 15.22 | 17.23 | 19.67 | 22.44 | 25.62 | 29.24 |
| | Biweekly | **707.25** | **796.50** | **897.75** | **1,011.75** | **1,141.50** | **1,292.25** | **1,475.25** | **1,683.00** | **1,921.50** | **2,193.00** |
| | Annual* | 18,445 | 20,773 | 23,413 | 26,386 | 29,770 | 33,702 | 38,475 | 43,893 | 50,113 | 57,193 |
| **2** | Hourly | 9.63 | 10.84 | 12.18 | 13.75 | 15.55 | 17.60 | 20.12 | 22.94 | 26.18 | 29.89 |
| | Biweekly | **722.25** | **813.00** | **913.50** | **1,031.25** | **1,166.25** | **1,320.00** | **1,509.00** | **1,720.50** | **1,963.50** | **2,241.75** |
| | Annual* | 18,836 | 21,203 | 23,824 | 26,895 | 30,416 | 34,426 | 39,355 | 44,871 | 51,208 | 58,465 |
| **3** | Hourly | 9.82 | 11.03 | 12.44 | 14.04 | 15.85 | 17.97 | 20.54 | 23.46 | 26.78 | 30.56 |
| | Biweekly | **736.50** | **827.25** | **933.00** | **1,053.00** | **1,188.75** | **1,347.75** | **1,540.50** | **1,759.50** | **2,008.50** | **2,292.00** |
| | Annual* | 19,208 | 21,575 | 24,333 | 27,462 | 31,003 | 35,149 | 40,176 | 45,888 | 52,382 | 59,775 |
| **4** | Hourly | 10.01 | 11.27 | 12.71 | 14.35 | 16.18 | 18.39 | 21.00 | 24.00 | 27.37 | 31.23 |
| | Biweekly | **750.75** | **845.25** | **953.25** | **1,076.25** | **1,213.50** | **1,379.25** | **1,575.00** | **1,800.00** | **2,052.75** | **2,342.25** |
| | Annual* | 19,580 | 22,044 | 24,861 | 28,069 | 31,648 | 35,971 | 41,076 | 46,944 | 53,536 | 61,086 |
| **5** | Hourly | 10.20 | 11.48 | 12.93 | 14.61 | 16.51 | 18.82 | 21.47 | 24.52 | 28.00 | 31.91 |
| | Biweekly | **765.00** | **861.00** | **969.75** | **1,095.75** | **1,238.25** | **1,411.50** | **1,610.25** | **1,839.00** | **2,100.00** | **2,393.25** |
| | Annual* | 19,951 | 22,455 | 25,291 | 28,577 | 32,294 | 36,812 | 41,995 | 47,961 | 54,768 | 62,416 |
| **6** | Hourly | 10.40 | 11.71 | 13.21 | 14.91 | 16.87 | 19.22 | 21.97 | 25.07 | 28.59 | 32.64 |
| | Biweekly | **780.00** | **878.25** | **990.75** | **1,118.25** | **1,265.25** | **1,441.50** | **1,647.75** | **1,880.25** | **2,144.25** | **2,448.00** |
| | Annual* | 20,342 | 22,905 | 25,839 | 29,164 | 32,998 | 37,594 | 42,973 | 49,037 | 55,922 | 63,844 |
| **7** | Hourly | 10.62 | 11.97 | 13.49 | 15.22 | 17.23 | 19.67 | 22.44 | 25.62 | 29.24 | 33.38 |
| | Biweekly | **796.50** | **897.75** | **1,011.75** | **1,141.50** | **1,292.25** | **1,475.25** | **1,683.00** | **1,921.50** | **2,193.00** | **2,503.50** |
| | Annual* | 20,773 | 23,413 | 26,386 | 29,770 | 33,702 | 38,475 | 43,893 | 50,113 | 57,193 | 65,291 |
| **8** | Hourly | 10.84 | 12.18 | 13.75 | 15.55 | 17.60 | 20.12 | 22.94 | 26.18 | 29.89 | 34.10 |
| | Biweekly | **813.00** | **913.50** | **1,031.25** | **1,166.25** | **1,320.00** | **1,509.00** | **1,720.50** | **1,963.50** | **2,241.75** | **2,557.50** |
| | Annual* | 21,203 | 23,824 | 26,895 | 30,416 | 34,426 | 39,355 | 44,871 | 51,208 | 58,465 | 66,700 |
| **9** | Hourly | 11.03 | 12.44 | 14.04 | 15.85 | 17.97 | 20.54 | 23.46 | 26.78 | 30.56 | 34.87 |
| | Biweekly | **827.25** | **933.00** | **1,053.00** | **1,188.75** | **1,347.75** | **1,540.50** | **1,759.50** | **2,008.50** | **2,292.00** | **2,615.25** |
| | Annual* | 21,575 | 24,333 | 27,462 | 31,003 | 35,149 | 40,176 | 45,888 | 52,382 | 59,775 | 68,206 |
| **10** | Hourly | 11.27 | 12.71 | 14.35 | 16.18 | 18.39 | 21.00 | 24.00 | 27.37 | 31.23 | 35.64 |
| | Biweekly | **845.25** | **953.25** | **1,076.25** | **1,213.50** | **1,379.25** | **1,575.00** | **1,800.00** | **2,052.75** | **2,342.25** | **2,673.00** |
| | Annual* | 22,044 | 24,861 | 28,069 | 31,648 | 35,971 | 41,076 | 46,944 | 53,536 | 61,086 | 69,712 |

Page 1 of 4
