## Appendix B

# COMMONWEALTH OF PENNSYLVANIA
# 37½ HOUR STANDARD PAY SCHEDULE
# EFFECTIVE JULY 1, 2005
# SCHEDULE S

| PAY STEP | PAY RANGE 1 | PAY RANGE 2 | PAY RANGE 3 | PAY RANGE 4 | PAY RANGE 5 | PAY RANGE 6 | PAY RANGE 7 | PAY RANGE 8 | PAY RANGE 9 | PAY RANGE 10 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **11** | Hourly 11.48 | Hourly 12.93 | Hourly 14.61 | Hourly 16.51 | Hourly 18.82 | Hourly 21.47 | Hourly 24.52 | Hourly 28.00 | Hourly 31.91 | Hourly 36.45 |
| | Biweekly **861.00** | Biweekly **969.75** | Biweekly **1,095.75** | Biweekly **1,238.25** | Biweekly **1,411.50** | Biweekly **1,610.25** | Biweekly **1,839.00** | Biweekly **2,100.00** | Biweekly **2,393.25** | Biweekly **2,733.75** |
| | Annual* 22,455 | Annual* 25,291 | Annual* 28,577 | Annual* 32,294 | Annual* 36,812 | Annual* 41,995 | Annual* 47,961 | Annual* 54,768 | Annual* 62,416 | Annual* 71,296 |
| **12** | Hourly 11.71 | Hourly 13.21 | Hourly 14.91 | Hourly 16.87 | Hourly 19.22 | Hourly 21.97 | Hourly 25.07 | Hourly 28.59 | Hourly 32.64 | Hourly 37.24 |
| | Biweekly **878.25** | Biweekly **990.75** | Biweekly **1,118.25** | Biweekly **1,265.25** | Biweekly **1,441.50** | Biweekly **1,647.75** | Biweekly **1,880.25** | Biweekly **2,144.25** | Biweekly **2,448.00** | Biweekly **2,793.00** |
| | Annual* 22,905 | Annual* 25,839 | Annual* 29,164 | Annual* 32,998 | Annual* 37,594 | Annual* 42,973 | Annual* 49,037 | Annual* 55,922 | Annual* 63,844 | Annual* 72,841 |
| **13** | Hourly 11.97 | Hourly 13.49 | Hourly 15.22 | Hourly 17.23 | Hourly 19.67 | Hourly 22.44 | Hourly 25.62 | Hourly 29.24 | Hourly 33.38 | Hourly 38.10 |
| | Biweekly **897.75** | Biweekly **1,011.75** | Biweekly **1,141.50** | Biweekly **1,292.25** | Biweekly **1,475.25** | Biweekly **1,683.00** | Biweekly **1,921.50** | Biweekly **2,193.00** | Biweekly **2,503.50** | Biweekly **2,857.50** |
| | Annual* 23,413 | Annual* 26,386 | Annual* 29,770 | Annual* 33,702 | Annual* 38,475 | Annual* 43,893 | Annual* 50,113 | Annual* 57,193 | Annual* 65,291 | Annual* 74,524 |
| **14** | Hourly 12.18 | Hourly 13.75 | Hourly 15.55 | Hourly 17.60 | Hourly 20.12 | Hourly 22.94 | Hourly 26.18 | Hourly 29.89 | Hourly 34.10 | Hourly 38.94 |
| | Biweekly **913.50** | Biweekly **1,031.25** | Biweekly **1,166.25** | Biweekly **1,320.00** | Biweekly **1,509.00** | Biweekly **1,720.50** | Biweekly **1,963.50** | Biweekly **2,241.75** | Biweekly **2,557.50** | Biweekly **2,920.50** |
