## Appendix C

# COMMONWEALTH OF PENNSYLVANIA
# 37½ HOUR STANDARD PAY SCHEDULE
# EFFECTIVE JANUARY 1, 2007
# SCHEDULE S

| PAY STEP | PAY RANGE 1 | PAY RANGE 2 | PAY RANGE 3 | PAY RANGE 4 | PAY RANGE 5 | PAY RANGE 6 | PAY RANGE 7 | PAY RANGE 8 | PAY RANGE 9 | PAY RANGE 10 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **11** | Hourly | 11.88 | 13.38 | 15.12 | 17.09 | 19.48 | 22.22 | 25.38 | 28.98 | 33.03 | 37.73 |
| | Biweekly | **891.00** | **1,003.50** | **1,134.00** | **1,281.75** | **1,461.00** | **1,666.50** | **1,903.50** | **2,173.50** | **2,477.25** | **2,829.75** |
| | Annual* | 23,237 | 26,171 | 29,575 | 33,428 | 38,103 | 43,462 | 49,643 | 56,685 | 64,607 | 73,800 |
| **12** | Hourly | 12.12 | 13.67 | 15.43 | 17.46 | 19.89 | 22.74 | 25.95 | 29.59 | 33.78 | 38.54 |
| | Biweekly | **909.00** | **1,025.25** | **1,157.25** | **1,309.50** | **1,491.75** | **1,705.50** | **1,946.25** | **2,219.25** | **2,533.50** | **2,890.50** |
| | Annual* | 23,707 | 26,739 | 30,181 | 34,152 | 38,905 | 44,479 | 50,758 | 57,878 | 66,074 | 75,384 |
| **13** | Hourly | 12.39 | 13.96 | 15.75 | 17.83 | 20.36 | 23.23 | 26.52 | 30.26 | 34.55 | 39.43 |
| | Biweekly | **929.25** | **1,047.00** | **1,181.25** | **1,337.25** | **1,527.00** | **1,742.25** | **1,989.00** | **2,269.50** | **2,591.25** | **2,957.25** |
| | Annual* | 24,235 | 27,306 | 30,807 | 34,875 | 39,824 | 45,438 | 51,873 | 59,189 | 67,580 | 77,125 |
| **14** | Hourly | 12.61 | 14.23 | 16.09 | 18.22 | 20.82 | 23.74 | 27.10 | 30.94 | 35.29 | 40.30 |
| | Biweekly | **945.75** | **1,067.25** | **1,206.75** | **1,366.50** | **1,561.50** | **1,780.50** | **2,032.50** | **2,320.50** | **2,646.75** | **3,022.50** |
| | Annual* | 24,665 | 27,834 | 31,472 | 35,638 | 40,724 | 46,435 | 53,008 | 60,519 | 69,027 | 78,827 |
| **15** | Hourly | 12.88 | 14.53 | 16.40 | 18.60 | 21.26 | 24.28 | 27.72 | 31.63 | 36.09 | 41.20 |
| | Biweekly | **966.00** | **1,089.75** | **1,230.00** | **1,395.00** | **1,594.50** | **1,821.00** | **2,079.00** | **2,372.25** | **2,706.75** | **3,090.00** |
| | Annual* | 25,193 | 28,421 | 32,078 | 36,382 | 41,585 | 47,492 | 54,220 | 61,868 | 70,592 | 80,587 |
| **16** | Hourly | 13.15 | 14.85 | 16.75 | 19.03 | 21.74 | 24.84 | 28.33 | 32.32 | 36.89 | 42.11 |
| | Biweekly | **986.25** | **1,113.75** | **1,256.25** | **1,427.25** | **1,630.50** | **1,863.00** | **2,124.75** | **2,424.00** | **2,766.75** | **3,158.25** |
| | Annual* | 25,721 | 29,047 | 32,763 | 37,223 | 42,523 | 48,587 | 55,413 | 63,218 | 72,157 | 82,367 |
| **17** | Hourly | 13.38 | 15.12 | 17.09 | 19.48 | 22.22 | 25.38 | 28.98 | 33.03 | 37.73 | 43.08 |
| | Biweekly | **1,003.50** | **1,134.00** | **1,281.75** | **1,461.00** | **1,666.50** | **1,903.50** | **2,173.50** | **2,477.25** | **2,829.75** | **3,231.00** |
| | Annual* | 26,171 | 29,575 | 33,428 | 38,103 | 43,462 | 49,643 | 56,685 | 64,607 | 73,800 | 84,264 |
| **18** | Hourly | 13.67 | 15.43 | 17.46 | 19.89 | 22.74 | 25.95 | 29.59 | 33.78 | 38.54 | 44.03 |
| | Biweekly | **1,025.25** | **1,157.25** | **1,309.50** | **1,491.75** | **1,705.50** | **1,946.25** | **2,219.25** | **2,533.50** | **2,890.50** | **3,302.25** |
| | Annual* | 26,739 | 30,181 | 34,152 | 38,905 | 44,479 | 50,758 | 57,878 | 66,074 | 75,384 | 86,123 |
| **19** | Hourly | 13.96 | 15.75 | 17.83 | 20.36 | 23.23 | 26.52 | 30.26 | 34.55 | 39.43 | 45.00 |
| | Biweekly | **1,047.00** | **1,181.25** | **1,337.25** | **1,527.00** | **1,742.25** | **1,989.00** | **2,269.50** | **2,591.25** | **2,957.25** | **3,375.00** |
| | Annual* | 27,306 | 30,807 | 34,875 | 39,824 | 45,438 | 51,873 | 59,189 | 67,580 | 77,125 | 88,020 |
| **20** | Hourly | 14.23 | 16.09 | 18.22 | 20.82 | 23.74 | 27.10 | 30.94 | 35.29 | 40.30 | 46.00 |
| | Biweekly | **1,067.25** | **1,206.75** | **1,366.50** | **1,561.50** | **1,780.50** | **2,032.50** | **2,320.50** | **2,646.75** | **3,022.50** | **3,450.00** |
| | Annual* | 27,834 | 31,472 | 35,638 | 40,724 | 46,435 | 53,008 | 60,519 | 69,027 | 78,827 | 89,976 |

* Approximate annual rate is derived by multiplying the biweekly rate by 26.08 and rounding to the nearest dollar.

Page 2 of 4
