Appendix C

# COMMONWEALTH OF PENNSYLVANIA
## 40 HOUR STANDARD PAY SCHEDULE
### EFFECTIVE JANUARY 1, 2007
## SCHEDULE S

40
40

| PAY STEP | PAY RANGE 1 | PAY RANGE 2 | PAY RANGE 3 | PAY RANGE 4 | PAY RANGE 5 | PAY RANGE 6 | PAY RANGE 7 | PAY RANGE 8 | PAY RANGE 9 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **11** | Hourly 11.88 | 13.38 | 15.12 | 17.09 | 19.48 | 22.22 | 25.38 | 28.98 | 33.03 |
| | Biweekly **950.40** | **1,070.40** | **1,209.60** | **1,367.20** | **1,558.40** | **1,777.60** | **2,030.40** | **2,318.40** | **2,642.40** |
| | Annual* 24,786 | 27,916 | 31,546 | 35,657 | 40,643 | 46,360 | 52,953 | 60,464 | 68,914 |
| **12** | Hourly 12.12 | 13.67 | 15.43 | 17.46 | 19.89 | 22.74 | 25.95 | 29.59 | 33.78 |
| | Biweekly **969.60** | **1,093.60** | **1,234.40** | **1,396.80** | **1,591.20** | **1,819.20** | **2,076.00** | **2,367.20** | **2,702.40** |
| | Annual* 25,287 | 28,521 | 32,193 | 36,429 | 41,498 | 47,445 | 54,142 | 61,737 | 70,479 |
| **13** | Hourly 12.39 | 13.96 | 15.75 | 17.83 | 20.36 | 23.23 | 26.52 | 30.26 | 34.55 |
| | Biweekly **991.20** | **1,116.80** | **1,260.00** | **1,426.40** | **1,628.80** | **1,858.40** | **2,121.60** | **2,420.80** | **2,764.00** |
| | Annual* 25,850 | 29,126 | 32,861 | 37,201 | 42,479 | 48,467 | 55,331 | 63,134 | 72,085 |
| **14** | Hourly 12.61 | 14.23 | 16.09 | 18.22 | 20.82 | 23.74 | 27.10 | 30.94 | 35.29 |
| | Biweekly **1,008.80** | **1,138.40** | **1,287.20** | **1,457.60** | **1,665.60** | **1,899.20** | **2,168.00** | **2,475.20** | **2,823.20** |
| | Annual* 26,310 | 29,689 | 33,570 | 38,014 | 43,439 | 49,531 | 56,541 | 64,553 | 73,629 |
| **15** | Hourly 12.88 | 14.53 | 16.40 | 18.60 | 21.26 | 24.28 | 27.72 | 31.63 | 36.09 |
| | Biweekly **1,030.40** | **1,162.40** | **1,312.00** | **1,488.00** | **1,700.80** | **1,942.40** | **2,217.60** | **2,530.40** | **2,887.20** |
| | Annual* 26,873 | 30,315 | 34,217 | 38,807 | 44,357 | 50,658 | 57,835 | 65,993 | 75,298 |
| **16** | Hourly 13.15 | 14.85 | 16.75 | 19.03 | 21.74 | 24.84 | 28.33 | 32.32 | 36.89 |
| | Biweekly **1,052.00** | **1,188.00** | **1,340.00** | **1,522.40** | **1,739.20** | **1,987.20** | **2,266.40** | **2,585.60** | **2,951.20** |
| | Annual* 27,436 | 30,983 | 34,947 | 39,704 | 45,358 | 51,826 | 59,108 | 67,432 | 76,967 |
| **17** | Hourly 13.38 | 15.12 | 17.09 | 19.48 | 22.22 | 25.38 | 28.98 | 33.03 | 37.73 |
| | Biweekly **1,070.40** | **1,209.60** | **1,367.20** | **1,558.40** | **1,777.60** | **2,030.40** | **2,318.40** | **2,642.40** | **3,018.40** |
| | Annual* 27,916 | 31,546 | 35,657 | 40,643 | 46,360 | 52,953 | 60,464 | 68,914 | 78,720 |
| **18** | Hourly 13.67 | 15.43 | 17.46 | 19.89 | 22.74 | 25.95 | 29.59 | 33.78 | 38.54 |
| | Biweekly **1,093.60** | **1,234.40** | **1,396.80** | **1,591.20** | **1,819.20** | **2,076.00** | **2,367.20** | **2,702.40** | **3,083.20** |
| | Annual* 28,521 | 32,193 | 36,429 | 41,498 | 47,445 | 54,142 | 61,737 | 70,479 | 80,410 |
| **19** | Hourly 13.96 | 15.75 | 17.83 | 20.36 | 23.23 | 26.52 | 30.26 | 34.55 | 39.43 |
| | Biweekly **1,116.80** | **1,260.00** | **1,426.40** | **1,628.80** | **1,858.40** | **2,121.60** | **2,420.80** | **2,764.00** | **3,154.40** |
| | Annual* 29,126 | 32,861 | 37,201 | 42,479 | 48,467 | 55,331 | 63,134 | 72,085 | 82,267 |
| **20** | Hourly 14.23 | 16.09 | 18.22 | 20.82 | 23.74 | 27.10 | 30.94 | 35.29 | 40.30 |
| | Biweekly **1,138.40** | **1,287.20** | **1,457.60** | **1,665.60** | **1,899.20** | **2,168.00** | **2,475.20** | **2,823.20** | **3,224.00** |
| | Annual* 29,689 | 33,570 | 38,014 | 43,439 | 49,531 | 56,541 | 64,553 | 73,629 | 84,082 |

* Approximate annual rate is derived by multiplying the biweekly rate by 26.08 and rounding to the nearest dollar.
** Applies to all employees whose work week is 40 hours and who are eligible to be paid according to this schedule as outlined in the chapter "Attendance, Holidays, and Leave," Title 4, Pennsylvania Code.

Page 4 of 4
