## PATIENT CARE TECHNICAL UNIT AGREEMENT
## TABLE OF CONTENTS

| ARTICLE | TITLE | PAGE NO. |
| :--- | :--- | :--- |
| 1 | Access | 1 |
| 2 | Agreement | 5 |
| 3 | Arbitration Procedure | 9 |
| 4 | Benefits | 13 |
| 5 | Contracting Out | 15 |
| 6 | Development | 16 |
| 7 | Discipline and Dismissal | 18 |
| 8 | Duration of Agreement | 19 |
| 9 | Grievance Procedure | 20 |
| 10 | Health and Safety | 27 |
| 11 | Holidays | 30 |
| 12 | Hours of Work | 32 |
| 13 | Layoff and Reduction in Time | 36 |
| 14 | Leaves of Absence | 41 |
| 15 | Leaves of Absence for Union Business | 55 |
| 16 | Management Rights | 57 |
| 17 | Medical Separation | 59 |
| 18 | Miscellaneous | 60 |
| 19 | Moving Expenses | 62 |
| 20 | Multiple Appointments | 62 |
| 21 | Non-discrimination in Employment | 63 |
| 22 | No Strikes | 63 |
| 23 | Out of Classification Assignments | 64 |
| 24 | Parking | 65 |
| 25 | Past Practice Not Covered By Agreement | 65 |
| 26 | Payroll Deductions | 66 |
| 27 | Performance Evaluation | 68 |
| 28 | Personnel Files | 69 |
| 29 | Position Appointments | 70 |
| 30 | Probationary Period | 73 |
| 31 | Reasonable Accommodation | 74 |
| 32 | Release Time for Negotiations | 75 |
| 33 | Resignation | 75 |
| 34 | Severability | 76 |
| 35 | Shift Differential | 76 |
| 36 | Sick Leave | 77 |
| 37 | Staffing Committee | 81 |
| 38 | Transfer and Promotion | 82 |
| 39 | Travel Reimbursement | 84 |
| 40 | Uniforms | 85 |
| 41 | Vacation Leave | 85 |
| 42 | Wages | 88 |
| 43 | Waiver | 90 |
| 44 | Work-Incurred Injury of Illness | 90 |
| 45 | Work Rules | 93 |
| | Memorandum of the Negotiators | 94 |
| | Execution of Agreement/ Bargaining Team Members | 95-96 |
| | Appendix A: Salary Range Tables | 97-173 |
| | Appendix B: Vacation Credit Tables | 174-175 |
| | Appendix C: Enumeration of University Benefits | 176-178 |
| | Appendix D: Meeting Rooms and Bulletin Boards | 179-186 |
| | Appendix E: Sideletters | 187-195 |
| | Agricultural Workers | 187 |
| | Capital Accumulation Provision (CAP) | 188 |
| | Contracting Guidelines | 189 |
| | Contracting Out | 190 |
| | Hours of Work – Overtime Compensation for Alternative Schedules | 191 |
| | Probationary Period | 192 |
| | Staffing Committee | 193 |
| | University Benefits | 194 |
| | Wages | 195 |
| | Index | 196-203 |
