# APPENDIX A

| LINK CODE | TITLE CODE | TITLE NAME | MONTHLY MINIMUM RATE | HOURLY MINIMUM RATE | MONTHLY MIDPOINT RATE | HOURLY MIDPOINT RATE | MONTHLY MAXIMUM RATE | HOURLY MAXIMUM RATE | SHIFT DIFFERENTIAL EVE | SHIFT DIFFERENTIAL NIGHT | SHIFT DIFFERENTIAL WKEND | ON CALL RATES 1 | ON CALL RATES 2 | ON CALL RATES 3 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **Davis - cont** | | | | | | | | | | | | | | |
| **Date - October 2003 and January 2004** | | | | | | | | | | | | | | |
| 019 | 8673 | MECHANIAN LAB MED FAC | $3,656 | $21.01 | $4,204 | $24.16 | $4,753 | $27.32 | $1.20 | $2.00 | $1.40 | $7.00 | | |
| 019 | 8674 | MECHANIAN LAB HELPER MED FAC | $3,172 | $18.23 | $3,649 | $20.97 | $4,124 | $23.70 | $1.20 | $2.00 | $1.40 | $7.00 | | |
| 019 | 8681 | TECHNICIAN, ELEC PRIN MED FAC | $4,444 | $25.54 | $5,110 | $29.37 | $5,777 | $33.20 | $2.30 | $4.00 | $1.40 | $9.00 | | |
| 019 | 8682 | TECHNICIAN, ELEC SENIOR MED FAC | $3,857 | $22.17 | $4,435 | $25.49 | $5,013 | $28.81 | $2.30 | $4.00 | $1.40 | $9.00 | | |
| 019 | 8683 | TECHNICIAN, ELEC MED FAC | $3,521 | $20.24 | $4,049 | $23.27 | $4,577 | $26.30 | $2.30 | $4.00 | $1.40 | $9.00 | | |
| 019 | 8684 | TECHNICIAN, ELEC TRAINEE MED FAC | $3,082 | $17.71 | $3,544 | $20.37 | $4,007 | $23.03 | $2.30 | $4.00 | $1.40 | $9.00 | | |
| 019 | 9027 | PERFUSIONIST, SENIOR | $6,594 | $37.90 | $7,583 | $43.58 | $8,572 | $49.26 | $1.20 | $2.00 | $1.40 | $9.00 | | |
| 019 | 9028 | PERFUSIONIST | $6,001 | $34.49 | $6,901 | $39.66 | $7,801 | $44.83 | $1.20 | $2.00 | $1.40 | $9.00 | | |
| 019 | 9036 | PERFUSIONIST, PRINCIPAL | $7,252 | $41.68 | $8,340 | $47.93 | $9,428 | $54.18 | $1.20 | $2.00 | $1.40 | $9.00 | | |
| 019 | 9039 | PERFUSIONIST SENIOR, PER DIEM | $8,829 | $50.74 | $10,229 | $58.79 | $11,630 | $66.84 | $1.20 | $2.00 | $1.40 | $9.00 | | |
| 019 | 9041 | PROSTHETIST/ORTHOTIST, SENIOR | $4,870 | $27.99 | $5,601 | $32.19 | $6,331 | $36.39 | $1.20 | $2.00 | $1.40 | $6.00 | | |
| 019 | 9042 | PROSTHETIST/ORTHOTIST | $4,259 | $24.48 | $4,898 | $28.15 | $5,537 | $31.82 | $1.20 | $2.00 | $1.40 | $6.00 | | |
| 019 | 9044 | PROSTHETIST/ORTHOTIST, ASST | $3,581 | $20.58 | $4,119 | $23.67 | $4,655 | $26.75 | $1.20 | $2.00 | $1.40 | $6.00 | | |
| 019 | 9048 | THERAPIST RESPIRATORY II | $4,123 | $23.70 | $4,742 | $27.25 | $5,360 | $30.80 | $1.20 | $2.00 | $1.40 | $7.00 | | |
| 019 | 9072 | RADIATION EQUIPMENT SPEC, SENIOR | $4,983 | $28.64 | $5,730 | $32.93 | $6,478 | $37.23 | $2.30 | $4.00 | $1.40 | $9.00 | | |
| 019 | 9073 | RADIATION EQUIPMENT SPEC | $4,623 | $26.57 | $5,316 | $30.55 | $6,010 | $34.54 | $2.30 | $4.00 | $1.40 | $9.00 | | |
| 019 | 9194 | OPTICIAN | $2,661 | $15.29 | $3,061 | $17.59 | $3,459 | $19.88 | $0.95 | $1.70 | $1.05 | | | |
| 020 | 5419 | REGISTERED DIETETIC TECH | $2,410 | $13.85 | $2,772 | $15.93 | $3,133 | $18.01 | $0.95 | $1.70 | $1.05 | $4.70 | | |
| 020 | 5430 | DIETITIC ASSISTANT | $2,355 | $13.53 | $2,709 | $15.57 | $3,062 | $17.60 | $0.95 | $1.70 | $1.05 | $4.70 | | |
| 033 | 8944 | PHYSICAL THERAPY ASST III | $3,228 | $18.55 | $3,711 | $21.33 | $4,196 | $24.11 | $1.20 | $2.00 | $1.40 | $6.00 | | |
| 033 | 8945 | PHYSICAL THERAPY ASST II | $2,851 | $16.39 | $3,278 | $18.84 | $3,706 | $21.30 | $1.20 | $2.00 | $1.40 | $6.00 | | |
| 033 | 8946 | PHYSICAL THERAPY ASST I | $2,550 | $14.66 | $2,932 | $16.85 | $3,315 | $19.05 | $1.20 | $2.00 | $1.40 | $6.00 | | |
| 033 | 8947 | OCCU THERAPY ASST CERT III | $3,228 | $18.55 | $3,711 | $21.33 | $4,196 | $24.11 | $1.20 | $2.00 | $1.40 | $6.00 | | |
| 033 | 8948 | OCCU THERAPY ASST CERT II | $2,851 | $16.39 | $3,278 | $18.84 | $3,706 | $21.30 | $1.20 | $2.00 | $1.40 | $6.00 | | |
| 033 | 8949 | OCCU THERAPY ASST CERT I | $2,550 | $14.66 | $2,932 | $16.85 | $3,315 | $19.05 | $1.20 | $2.00 | $1.40 | $6.00 | | |
| 033 | 8951 | PHYSICAL THERAPY ASST, PER DIEM | | $20.24 | | | | | $1.20 | $2.00 | $1.40 | $6.00 | | |
| 033 | 8952 | CERT OCCUP THERAPY ASST, PER DIEM | | $20.24 | | | | | $1.20 | $2.00 | $1.40 | $6.00 | | |
| 034 | 8987 | TECHNOLOGIST CYTOGENETIC II | $4,671 | $26.85 | $5,605 | $32.31 | $6,539 | $37.58 | $1.90 | $2.80 | $1.40 | $7.00 | | |
| 034 | 8988 | TECHNOLOGIST CYTOGENETIC I | $4,260 | $24.48 | $4,900 | $28.16 | $5,538 | $31.83 | $1.90 | $2.80 | $1.40 | $7.00 | | |
| 034 | 8989 | TECHNOLOGIST CYTO TRAINEE | $2,830 | $16.26 | $3,535 | $20.32 | $4,242 | $24.38 | $1.90 | $2.80 | $1.40 | $7.00 | | |

- 103 -
