## APPENDIX A

| LINK CODE | TITLE CODE | TITLE NAME | MONTHLY MINIMUM RATE | HOURLY MINIMUM RATE | MONTHLY MIDPOINT RATE | HOURLY MIDPOINT RATE | MONTHLY MAXIMUM RATE | HOURLY MAXIMUM RATE | SHIFT DIFFERENTIAL | | | ON CALL RATES | | |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| | | | | | | | | | EVE | NIGHT | WKEND | 1 | 2 | 3 |

**CAMPUS - San Diego – cont.**
**January and July 2004**

| 014 | 9015 | TECHNOLOGIST, RAD THPY, PER DIEM | | $42.84 | | | | | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 014 | 9021 | TECHNOLOGIST, RADIOLOGIC, PRIN | $3,670 | $21.09 | $4,761 | $27.36 | $5,851 | $33.63 | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 014 | 9022 | TECHNOLOGIST, RADIOLOGIC, SR | $3,494 | $20.08 | $4,534 | $26.06 | $5,574 | $32.03 | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 014 | 9023 | TECHNOLOGIST, RADIOLOGIC | $3,320 | $19.08 | $4,066 | $23.37 | $4,813 | $27.66 | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 014 | 9025 | TECHNOLOGIST, RADIOLOG, PER DIEM | $4,173 | $23.98 | | | | | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 014 | 9026 | TECHNOLOGIST, RAD, PRIN, PER DIEM | $4,910 | $28.22 | | | | | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 014 | 9078 | MAMMOGRAPHY TECHNOLOGIST PD | | $28.78 | | | | | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 014 | 9086 | TECHNOLOGIST, CT | $3,689 | $21.20 | $4,770 | $27.41 | $5,851 | $33.63 | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 014 | 9087 | TECHNOLOGIST, CT, PER DIEM | | $28.78 | | | | | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 014 | 9089 | MAMMOGRAPHY TECHNOLOGIST | $3,689 | $21.20 | $4,770 | $27.41 | $5,851 | $33.63 | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 015 | 9048 | THERAPIST, RESPIRATORY, II | $3,271 | $18.80 | $3,925 | $22.56 | $4,580 | $26.32 | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 015 | 9049 | THERAPIST, RESPIRATORY, REG, I | $3,235 | $18.59 | $3,671 | $21.10 | $4,108 | $23.61 | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 015 | 9050 | THERAPIST, RESPIRATORY, I | $2,944 | $16.92 | $3,532 | $20.30 | $4,120 | $23.68 | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 015 | 9051 | THERAPIST, RESPIRA, REG, PER DIEM | $4,895 | $28.13 | | | | | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 015 | 9052 | THERAPIST, RESPIRAT, PER DIEM | $4,627 | $26.59 | | | | | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 015 | 9054 | TECHNICIAN, RESP CARE PRACT | $2,944 | $16.92 | $3,532 | $20.30 | $4,120 | $23.68 | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 015 | 9055 | APPLICANT, RESP CARE PRACT | $3,040 | $17.47 | | | | | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 015 | 9056 | TECHNICIAN, RESP CARE PRAC, PD | $3,965 | $22.79 | | | | | $2.00 | $3.00 | $1.00 | $5.50 | | |
| 016 | 9257 | HOSPITAL UNIT SERV COORD III | $1,830 | $10.52 | $2,119 | $12.18 | $2,406 | $13.83 | $2.00 | $3.00 | | $5.50 | | |
| 016 | 9258 | HOSPITAL UNIT SERV COORD II | $1,650 | $9.48 | $1,897 | $10.90 | $2,144 | $12.32 | $2.00 | $3.00 | | $5.50 | | |
| 016 | 9259 | HOSPITAL UNIT SERV COORD I | $1,482 | $8.52 | $1,703 | $9.79 | $1,923 | $11.05 | $2.00 | $3.00 | | $5.50 | | |
| 016 | 9260 | COORDINATOR, HOSP. UNIT SER PD | | $14.81 | | | | | $2.00 | $3.00 | | $5.50 | | |
| 017 | 8902 | PHARMACY ASSISTANT III PD | | $21.67 | | | | | $2.00 | $3.00 | | $5.50 | | |
| 017 | 9000 | ASSISTANT, HOSPITAL IV | $2,667 | $15.33 | $3,057 | $17.57 | $3,445 | $19.80 | $2.00 | $3.00 | | $5.50 | | |
| 017 | 9218 | TECHNICIAN II, CENTRAL STERILE | $2,137 | $12.28 | $2,457 | $14.12 | $2,777 | $15.96 | $2.00 | $3.00 | | $5.50 | | |
| 017 | 9219 | TECHNICIAN III, CENTRAL STERILE | $2,271 | $13.05 | $2,596 | $14.92 | $2,920 | $16.78 | $2.00 | $3.00 | | $5.50 | | |
| 017 | 9220 | TECHNICIAN, CENTRAL STERILE, PD | | $14.44 | | | | | $2.00 | $3.00 | | $5.50 | | |
| 017 | 9243 | -ASSIST. III, HOSP., P.D. | $2,894 | $16.63 | | | | | $2.00 | $3.00 | | $5.50 | | |
| 017 | 9244 | -ASSIST. II, HOSP., P.D. | $2,563 | $14.73 | | | | | $2.00 | $3.00 | | $5.50 | | |
| 017 | 9245 | -ASSIST. I, HOSP., P.D. | $2,279 | $13.10 | | | | | $2.00 | $3.00 | | $5.50 | | |

- 119 -
