## APPENDIX A

| LINK CODE | TITLE CODE | TITLE NAME | MONTHLY MINIMUM RATE | HOURLY MINIMUM RATE | MONTHLY MIDPOINT RATE | HOURLY MIDPOINT RATE | MONTHLY MAXIMUM RATE | HOURLY MAXIMUM RATE | SHIFT DIFFERENTIAL EVE | SHIFT DIFFERENTIAL NIGHT | SHIFT DIFFERENTIAL WKEND | ON CALL RATES 1 | ON CALL RATES 2 | ON CALL RATES 3 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| | | CAMPUS - San Diego - cont. | | | | | | | | | | | | |
| | | January and July 2004 | | | | | | | | | | | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | $2,967 | $17.05 | $3,541 | $20.35 | $4,117 | $23.66 | $2.00 | $3.00 | | $5.50 | | |
| 019 | 8683 | TECHNICIAN, ELEC-MED FAC | $2,711 | $15.58 | $3,142 | $18.06 | $3,576 | $20.55 | $2.00 | $3.00 | | $5.50 | | |
| 019 | 8684 | TECHNICIAN,ELEC, TRAINEE-MF | $2,375 | $13.65 | $2,746 | $15.78 | $3,116 | $17.91 | $2.00 | $3.00 | | $5.50 | | |
| 019 | 9027 | PERFUSIONIST, SR | $4,651 | $26.73 | $5,549 | $31.89 | $6,448 | $37.06 | $2.00 | $3.00 | | $5.50 | | |
| 019 | 9028 | PERFUSIONIST | $4,042 | $23.23 | $4,825 | $27.73 | $5,608 | $32.23 | $2.00 | $3.00 | | $5.50 | | |
| 019 | 9029 | PERFUSIONIST, ASST | $2,927 | $16.82 | $3,492 | $20.07 | $4,058 | $23.32 | $2.00 | $3.00 | | $5.50 | | |
| 019 | 9036 | PERFUSIONIST, PRIN | $5,114 | $29.39 | $6,102 | $35.07 | $7,092 | $40.76 | $2.00 | $3.00 | | $5.50 | | |
| 019 | 9038 | PERFUSIONIST, PER DIEM | $7,226 | $41.53 | | | | | $2.00 | $3.00 | | $5.50 | | |
| 019 | 9039 | PERFUSIONIST, SR, PER DIEM | $8,310 | $47.76 | | | | | $2.00 | $3.00 | | $5.50 | | |
| 019 | 9041 | PROSTHETIST/ORTHOTIST, SR | $3,548 | $20.39 | $4,233 | $24.33 | $4,919 | $28.27 | $2.00 | $3.00 | | $5.50 | | |
| 019 | 9042 | PROSTHETIST/ORTHOTIST | $3,226 | $18.54 | $3,852 | $22.14 | $4,477 | $25.73 | $2.00 | $3.00 | | $5.50 | | |
| 019 | 9044 | PROSTHETICS/ORTHOTICS, ASST | $1,770 | $10.17 | $2,071 | $11.90 | $2,372 | $13.63 | $2.00 | $3.00 | | $5.50 | | |
| 019 | 9072 | RADIATION EQUIP SPECIALIST, SR | $3,835 | $22.04 | $4,580 | $26.32 | $5,324 | $30.60 | $2.00 | $3.00 | | $5.50 | | |
| 019 | 9073 | RADIATION EQUIP SPECIALIST | $3,336 | $19.17 | $3,981 | $22.88 | $4,627 | $26.59 | $2.00 | $3.00 | | $5.50 | | |
| 020 | 5419 | DIETETIC TECH, REGISTERED | $2,636 | $15.15 | $3,031 | $17.42 | $3,426 | $19.69 | $2.00 | $3.00 | | $5.50 | | |
| 020 | 5430 | DIETETIC ASSISTANT | $1,958 | $11.25 | $2,222 | $12.77 | $2,486 | $14.29 | $2.00 | $3.00 | | $5.50 | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | $2,841 | $16.33 | $3,242 | $18.63 | $3,644 | $20.94 | $2.00 | $3.00 | | $5.50 | | |
| 033 | 8945 | PHYSICAL THERAPY ASSISTANT II | $2,495 | $14.34 | $2,834 | $16.29 | $3,174 | $18.24 | $2.00 | $3.00 | | $5.50 | | |
| 033 | 8946 | PHYSICAL THERAPY ASSISTANT I | $2,194 | $12.61 | $2,481 | $14.26 | $2,767 | $15.90 | $2.00 | $3.00 | | $5.50 | | |
| 033 | 8947 | CERT OCCUP THERAPY ASST III | $2,841 | $16.33 | $3,242 | $18.63 | $3,644 | $20.94 | $2.00 | $3.00 | | $5.50 | | |
| 033 | 8948 | CERT OCCUP THERAPY ASST II | $2,495 | $14.34 | $2,834 | $16.29 | $3,174 | $18.24 | $2.00 | $3.00 | | $5.50 | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | $2,194 | $12.61 | $2,481 | $14.26 | $2,767 | $15.90 | $2.00 | $3.00 | | $5.50 | | |
| 033 | 8951 | PHYSICAL THERAPY ASST PD | $4,068 | $23.38 | | | | | $2.00 | $3.00 | | $5.50 | | |
| 033 | 8952 | CERT OCCUP THERAPY ASST PD | $4,068 | $23.38 | | | | | $2.00 | $3.00 | | $5.50 | | |
| 034 | 8987 | TECHNOLOGIST CYTOGENETIC II | $3,684 | $21.17 | $4,792 | $27.54 | $5,902 | $33.92 | $2.00 | $3.00 | | $5.50 | | |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | $3,336 | $19.17 | $4,343 | $24.96 | $5,349 | $30.74 | $2.00 | $3.00 | | $5.50 | | |
| 034 | 8989 | TECHNOLOGIST, CYTO, TRAINEE | $3,022 | $17.37 | $3,934 | $22.61 | $4,848 | $27.86 | $2.00 | $3.00 | | $5.50 | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | $2,500 | $14.37 | $3,125 | $17.96 | $3,751 | $21.56 | $2.00 | $3.00 | | $5.50 | | |
| 034 | 9066 | HISTOTECHNOLOGIST II | $2,779 | $15.97 | $3,473 | $19.96 | $4,167 | $23.95 | $2.00 | $3.00 | | $5.50 | | |

- 121 -
