## APPENDIX A

SAN FRANCISCO – cont.
January 1, 2004

| LINK CODE | TITLE CODE | TITLE NAME | STEP | MONTHLY RATE | HOURLY RATE | SHIFT DIFFERENTIAL EVE | SHIFT DIFFERENTIAL NIGHT | SHIFT DIFFERENTIAL WKEND | ON CALL RATES 1 | ON CALL RATES 2 | ON CALL RATES 3 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 006 | 4717 | ABSTRACTOR, PATIENT RECORD III | 19. | $4,224 | $24.28 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4717 | ABSTRACTOR, PATIENT RECORD III | 20. | $4,279 | $24.59 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4717 | ABSTRACTOR, PATIENT RECORD III | 21. | $4,333 | $24.90 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4717 | ABSTRACTOR, PATIENT RECORD III | 22. | $4,386 | $25.21 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4717 | ABSTRACTOR, PATIENT RECORD III | 23. | $4,441 | $25.52 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4717 | ABSTRACTOR, PATIENT RECORD III | 24. | $4,496 | $25.84 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4717 | ABSTRACTOR, PATIENT RECORD III | 25. | $4,553 | $26.17 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4717 | ABSTRACTOR, PATIENT RECORD III | 26. | $4,610 | $26.49 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4717 | ABSTRACTOR, PATIENT RECORD III | 27. | $4,669 | $26.83 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4717 | ABSTRACTOR, PATIENT RECORD III | 28. | $4,724 | $27.15 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 1. | $3,026 | $17.39 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 2. | $3,063 | $17.60 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 3. | $3,102 | $17.83 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 4. | $3,140 | $18.05 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 5. | $3,180 | $18.28 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 6. | $3,219 | $18.50 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 7. | $3,260 | $18.74 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 8. | $3,301 | $18.97 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 9. | $3,342 | $19.21 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 10. | $3,382 | $19.44 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 11. | $3,427 | $19.70 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 12. | $3,469 | $19.94 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 13. | $3,512 | $20.18 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 14. | $3,556 | $20.44 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 15. | $3,600 | $20.69 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 16. | $3,645 | $20.95 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 17. | $3,691 | $21.21 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 18. | $3,737 | $21.48 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 19. | $3,784 | $21.75 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 20. | $3,832 | $22.02 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 21. | $3,878 | $22.29 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 22. | $3,928 | $22.57 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 23. | $3,976 | $22.85 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 24. | $4,025 | $23.13 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 25. | $4,075 | $23.42 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 26. | $4,127 | $23.72 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 27. | $4,181 | $24.03 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4718 | ABSTRACTOR, PATIENT RECORD II | 28. | $4,229 | $24.30 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 1. | $2,723 | $15.65 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 2. | $2,756 | $15.84 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 3. | $2,791 | $16.04 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 4. | $2,826 | $16.24 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 5. | $2,860 | $16.44 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 6. | $2,896 | $16.64 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 7. | $2,936 | $16.87 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 8. | $2,971 | $17.07 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 9. | $3,008 | $17.29 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 10. | $3,045 | $17.50 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 11. | $3,081 | $17.71 | $2.25 | $3.75 | $1.25 | | | |
