# APPENDIX A

| | | | | | | SHIFT DIFFERENTIAL | | | ON CALL RATES | | |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| LINK CODE | TITLE CODE | TITLE NAME | STEP | MONTHLY RATE | HOURLY RATE | EVE | NIGHT | WKEND | 1 | 2 | 3 |
| | | | | | | | | | | | |
| SAN FRANCISCO – cont. | | | | | | | | | | | |
| January 1, 2004 | | | | | | | | | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 25. | $3,667 | $21.07 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 26. | $3,715 | $21.35 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 27. | $3,759 | $21.60 | $2.25 | $3.75 | $1.25 | | | |
| 006 | 4719 | ABSTRACTOR, PATIENT RECORD I | 28. | $3,809 | $21.89 | $2.25 | $3.75 | $1.25 | | | |
| 011 | 8904 | HOSPITAL ASST, SR | 1. | $2,357 | $13.55 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 2. | $2,387 | $13.72 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 3. | $2,416 | $13.89 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 4. | $2,447 | $14.06 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 5. | $2,478 | $14.24 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 6. | $2,508 | $14.41 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 7. | $2,540 | $14.60 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 8. | $2,572 | $14.78 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 9. | $2,604 | $14.97 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 10. | $2,637 | $15.16 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 11. | $2,670 | $15.34 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 12. | $2,703 | $15.53 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 13. | $2,737 | $15.73 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 14. | $2,770 | $15.92 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 15. | $2,804 | $16.11 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 16. | $2,841 | $16.33 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 17. | $2,875 | $16.52 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 18. | $2,912 | $16.74 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 19. | $2,948 | $16.94 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8904 | HOSPITAL ASST, SR | 20. | $2,985 | $17.16 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 1. | $2,217 | $12.74 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 2. | $2,245 | $12.90 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 3. | $2,273 | $13.06 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 4. | $2,300 | $13.22 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 5. | $2,330 | $13.39 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 6. | $2,359 | $13.56 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 7. | $2,389 | $13.73 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 8. | $2,418 | $13.90 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 9. | $2,448 | $14.07 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 10. | $2,479 | $14.25 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 11. | $2,510 | $14.43 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 12. | $2,541 | $14.60 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 13. | $2,572 | $14.78 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 14. | $2,605 | $14.97 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 15. | $2,639 | $15.17 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 16. | $2,670 | $15.34 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 17. | $2,704 | $15.54 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 18. | $2,739 | $15.74 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 19. | $2,770 | $15.92 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8905 | HOSPITAL ASST | 20. | $2,808 | $16.14 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8906 | HOSPITAL ASST, PER DIEM | 1. | $2,809 | $16.14 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 8907 | HOSP. ASSISTANT, P.D., SR | 1. | $2,999 | $17.24 | $2.00 | $3.25 | $1.00 | 50% | | |
| 011 | 9242 | AID, HOSPITAL, PER DIEM | 1. | $2,647 | $15.21 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 1. | $2,056 | $11.82 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 2. | $2,081 | $11.96 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 3. | $2,108 | $12.11 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 4. | $2,135 | $12.27 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 5. | $2,162 | $12.43 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 6. | $2,188 | $12.57 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 7. | $2,214 | $12.72 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 8. | $2,245 | $12.90 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 9. | $2,272 | $13.06 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 10. | $2,300 | $13.22 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 11. | $2,329 | $13.39 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 12. | $2,357 | $13.55 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 13. | $2,387 | $13.72 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 14. | $2,418 | $13.90 | $2.00 | $3.25 | $1.00 | | | |
| 011 | 9254 | ___AID, HOSPITAL | 15. | $2,447 | $14.06 | $2.00 | $3.25 | $1.00 | | | |

- 127 -
