# APPENDIX A

## SHIFT DIFFERENTIAL
## ON CALL RATES

| LINK CODE | TITLE CODE | TITLE NAME | STEP | MONTHLY RATE | HOURLY RATE | EVE | NIGHT | WKEND | 1 | 2 | 3 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **SAN FRANCISCO – cont.** | | | | | | | | | | | |
| **January 1, 2004** | | | | | | | | | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 6. | $3,243 | $18.64 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 7. | $3,283 | $18.87 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 8. | $3,324 | $19.10 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 9. | $3,367 | $19.35 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 10. | $3,409 | $19.59 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 11. | $3,449 | $19.82 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 12. | $3,494 | $20.08 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 13. | $3,537 | $20.33 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 14. | $3,580 | $20.57 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 15. | $3,626 | $20.84 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 16. | $3,672 | $21.10 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 17. | $3,717 | $21.36 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 18. | $3,764 | $21.63 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 19. | $3,811 | $21.90 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 20. | $3,857 | $22.17 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 21. | $3,907 | $22.45 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 22. | $3,956 | $22.74 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 23. | $4,004 | $23.01 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8925 | TECHNICIAN, PSYCHIATRIC, SR | 24. | $4,056 | $23.31 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 1. | $2,919 | $16.78 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 2. | $2,957 | $16.99 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 3. | $2,995 | $17.21 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 4. | $3,031 | $17.42 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 5. | $3,068 | $17.63 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 6. | $3,107 | $17.86 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 7. | $3,147 | $18.09 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 8. | $3,185 | $18.30 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 9. | $3,225 | $18.53 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 10. | $3,265 | $18.76 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 11. | $3,308 | $19.01 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 12. | $3,347 | $19.24 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 13. | $3,388 | $19.47 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 14. | $3,432 | $19.72 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 15. | $3,474 | $19.97 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 16. | $3,517 | $20.21 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 17. | $3,563 | $20.48 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 18. | $3,607 | $20.73 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 19. | $3,653 | $20.99 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 20. | $3,698 | $21.25 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 21. | $3,744 | $21.52 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 22. | $3,791 | $21.79 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 23. | $3,839 | $22.06 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8926 | TECHNICIAN, PSYCHIATRIC | 24. | $3,884 | $22.32 | $2.00 | $3.25 | $1.00 | | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 1. | $3,559 | $20.45 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 2. | $3,603 | $20.71 | $2.00 | $3.25 | $1.00 | 50% | | |
