## APPENDIX A

**SAN FRANCISCO – cont.**
**January 1, 2004**

| LINK CODE | TITLE CODE | TITLE NAME | STEP | MONTHLY RATE | HOURLY RATE | SHIFT DIFFERENTIAL | | | ON CALL RATES | | |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| | | | | | | EVE | NIGHT | WKEND | 1 | 2 | 3 |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 20. | $4,504 | $25.89 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 21. | $4,561 | $26.21 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 22. | $4,619 | $26.55 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 23. | $4,679 | $26.89 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8927 | TECHNICIAN, ORTHOPEDIC, PRIN | 24. | $4,738 | $27.23 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 1. | $3,253 | $18.70 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 2. | $3,293 | $18.93 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 3. | $3,334 | $19.16 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 4. | $3,375 | $19.40 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 5. | $3,418 | $19.64 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 6. | $3,462 | $19.90 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 7. | $3,504 | $20.14 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 8. | $3,546 | $20.38 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 9. | $3,592 | $20.64 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 10. | $3,636 | $20.90 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 11. | $3,682 | $21.16 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 12. | $3,728 | $21.43 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 13. | $3,777 | $21.71 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 14. | $3,821 | $21.96 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 15. | $3,869 | $22.24 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 16. | $3,918 | $22.52 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 17. | $3,967 | $22.80 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 18. | $4,018 | $23.09 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 19. | $4,067 | $23.37 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 20. | $4,118 | $23.67 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 21. | $4,171 | $23.97 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 22. | $4,221 | $24.26 | $2.00 | $3.25 | $1.00 | 50% | | |
| 012 | 8928 | TECHNICIAN, ORTHOPEDIC, SR | 23. | $4,274 | $24.56 | $2.00 | $3.25 | $1.00 | 50% | | |
