## APPENDIX A

| LINK CODE | TITLE CODE | TITLE NAME | STEP | MONTHLY RATE | HOURLY RATE | SHIFT DIFFERENTIAL EVE | SHIFT DIFFERENTIAL NIGHT | SHIFT DIFFERENTIAL WKEND | ON CALL RATES 1 | ON CALL RATES 2 | ON CALL RATES 3 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **SAN FRANCISCO – cont.** | | | | | | | | | | | |
| **January 1, 2004** | | | | | | | | | | | |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 8. | $4,027 | $23.14 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 9. | $4,075 | $23.42 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 10. | $4,129 | $23.73 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 11. | $4,181 | $24.03 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 12. | $4,233 | $24.33 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 13. | $4,285 | $24.63 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 14. | $4,338 | $24.93 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 15. | $4,393 | $25.25 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 16. | $4,446 | $25.55 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 17. | $4,503 | $25.88 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 18. | $4,558 | $26.20 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 19. | $4,618 | $26.54 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 20. | $4,676 | $26.87 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 21. | $4,734 | $27.21 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 22. | $4,792 | $27.54 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 23. | $4,851 | $27.88 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | 24. | $4,911 | $28.22 | $2.25 | $3.75 | $1.25 | 50% | $5 | $4 |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 1. | $3,218 | $18.49 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 2. | $3,258 | $18.72 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 3. | $3,297 | $18.95 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 4. | $3,339 | $19.19 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 5. | $3,381 | $19.43 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 6. | $3,424 | $19.68 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 7. | $3,466 | $19.92 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 8. | $3,509 | $20.17 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 9. | $3,553 | $20.42 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 10. | $3,598 | $20.68 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 11. | $3,642 | $20.93 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 12. | $3,687 | $21.19 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 13. | $3,734 | $21.46 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 14. | $3,782 | $21.74 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 15. | $3,826 | $21.99 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 16. | $3,875 | $22.27 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 17. | $3,925 | $22.56 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 18. | $3,973 | $22.83 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 19. | $4,024 | $23.13 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 20. | $4,072 | $23.40 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 21. | $4,125 | $23.71 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 22. | $4,177 | $24.01 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | 23. | $4,228 | $24.30 | $2.25 | $3.75 | $1.25 | 50% | $5 | |
