## APPENDIX A

| | | | | | | | SHIFT DIFFERENTIAL | | | ON CALL RATES | | |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **LINK CODE** | **TITLE CODE** | **TITLE NAME** | **STEP** | **MONTHLY RATE** | **HOURLY RATE** | **EVE** | **NIGHT** | **WKEND** | **1** | **2** | **3** |

**SAN FRANCISCO – cont.**
**January 1, 2004**

| 017 | 9239 | PHLEBOTOMIST | 13. | $2,917 | $16.76 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9239 | PHLEBOTOMIST | 14. | $2,955 | $16.98 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9239 | PHLEBOTOMIST | 15. | $2,990 | $17.18 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9239 | PHLEBOTOMIST | 16. | $3,029 | $17.41 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9239 | PHLEBOTOMIST | 17. | $3,066 | $17.62 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9239 | PHLEBOTOMIST | 18. | $3,106 | $17.85 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9239 | PHLEBOTOMIST | 19. | $3,143 | $18.06 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9239 | PHLEBOTOMIST | 20. | $3,183 | $18.29 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9239 | PHLEBOTOMIST | 21. | $3,223 | $18.52 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9239 | PHLEBOTOMIST | 22. | $3,263 | $18.75 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9239 | PHLEBOTOMIST | 23. | $3,305 | $18.99 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9239 | PHLEBOTOMIST | 24. | $3,346 | $19.23 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9243 | -ASSIST. III, HOSP., P.D. | 1. | $3,657 | $21.02 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9244 | -ASSIST. II, HOSP., P.D. | 1. | $3,267 | $18.78 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9245 | -ASSIST. I, HOSP., P.D. | 1. | $2,936 | $16.87 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 1. | $2,803 | $16.11 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 2. | $2,839 | $16.32 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 3. | $2,873 | $16.51 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 4. | $2,908 | $16.71 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 5. | $2,946 | $16.93 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 6. | $2,981 | $17.13 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 7. | $3,019 | $17.35 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 8. | $3,057 | $17.57 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 9. | $3,097 | $17.80 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 10. | $3,133 | $18.01 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 11. | $3,173 | $18.24 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 12. | $3,214 | $18.47 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 13. | $3,255 | $18.71 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 14. | $3,295 | $18.94 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 15. | $3,336 | $19.17 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 16. | $3,377 | $19.41 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 17. | $3,420 | $19.66 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 18. | $3,462 | $19.90 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 19. | $3,506 | $20.15 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 20. | $3,548 | $20.39 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 21. | $3,593 | $20.65 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 22. | $3,638 | $20.91 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 23. | $3,684 | $21.17 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9251 | ___ASSISTANT, HOSPITAL, III | 24. | $3,730 | $21.44 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 1. | $2,513 | $14.44 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 2. | $2,545 | $14.63 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 3. | $2,576 | $14.80 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 4. | $2,609 | $14.99 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 5. | $2,642 | $15.18 | $2.00 | $3.25 | $1.00 | 50% | | |
| 017 | 9252 | ___ASSISTANT, HOSPITAL, II | 6. | $2,674 | $15.37 | $2.00 | $3.25 | $1.00 | 50% | | |
