## APPENDIX A

| | | | | | | SHIFT DIFFERENTIAL | | | ON CALL RATES | | |
|---|---|---|---|---|---|---|---|---|---|---|---|
| LINK CODE | TITLE CODE | TITLE NAME | STEP | MONTHLY RATE | HOURLY RATE | EVE | NIGHT | WKEND | 1 | 2 | 3 |

**SAN FRANCISCO – cont.**
**January 1, 2004**

| 019 | 8674 | MECHANICIAN, LAB, HELPER-MED FAC | 12. | $3,438 | $19.76 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8674 | MECHANICIAN, LAB, HELPER-MED FAC | 13. | $3,480 | $20.00 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8674 | MECHANICIAN, LAB, HELPER-MED FAC | 14. | $3,524 | $20.25 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8674 | MECHANICIAN, LAB, HELPER-MED FAC | 15. | $3,569 | $20.51 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8674 | MECHANICIAN, LAB, HELPER-MED FAC | 16. | $3,610 | $20.75 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8674 | MECHANICIAN, LAB, HELPER-MED FAC | 17. | $3,658 | $21.02 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8674 | MECHANICIAN, LAB, HELPER-MED FAC | 18. | $3,703 | $21.28 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8674 | MECHANICIAN, LAB, HELPER-MED FAC | 19. | $3,750 | $21.55 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8674 | MECHANICIAN, LAB, HELPER-MED FAC | 20. | $3,796 | $21.82 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8674 | MECHANICIAN, LAB, HELPER-MED FAC | 21. | $3,844 | $22.09 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8674 | MECHANICIAN, LAB, HELPER-MED FAC | 22. | $3,893 | $22.37 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8674 | MECHANICIAN, LAB, HELPER-MED FAC | 23. | $3,940 | $22.64 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8674 | MECHANICIAN, LAB, HELPER-MED FAC | 24. | $3,991 | $22.94 | $2.00 | $3.25 | $1.00 | | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 1. | $4,470 | $25.69 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 2. | $4,527 | $26.02 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 3. | $4,583 | $26.34 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 4. | $4,640 | $26.67 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 5. | $4,698 | $27.00 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 6. | $4,755 | $27.33 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 7. | $4,814 | $27.67 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 8. | $4,875 | $28.02 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 9. | $4,936 | $28.37 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 10. | $4,998 | $28.72 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 11. | $5,060 | $29.08 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 12. | $5,122 | $29.44 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 13. | $5,187 | $29.81 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 14. | $5,251 | $30.18 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 15. | $5,319 | $30.57 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 16. | $5,386 | $30.95 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 17. | $5,453 | $31.34 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 18. | $5,520 | $31.72 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 19. | $5,590 | $32.13 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 20. | $5,659 | $32.52 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 21. | $5,729 | $32.93 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8681 | TECHNICIAN, ELEC, PRIN-MED FAC | 22. | $5,802 | $33.34 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 1. | $3,886 | $22.33 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 2. | $3,936 | $22.62 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 3. | $3,985 | $22.90 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 4. | $4,032 | $23.17 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 5. | $4,084 | $23.47 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 6. | $4,134 | $23.76 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 7. | $4,187 | $24.06 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 8. | $4,240 | $24.37 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 9. | $4,292 | $24.67 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 10. | $4,345 | $24.97 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 11. | $4,400 | $25.29 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 12. | $4,456 | $25.61 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 13. | $4,511 | $25.93 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 14. | $4,569 | $26.26 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 15. | $4,626 | $26.59 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 16. | $4,684 | $26.92 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 17. | $4,741 | $27.25 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 18. | $4,802 | $27.60 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 19. | $4,861 | $27.94 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 20. | $4,923 | $28.29 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 21. | $4,984 | $28.64 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8682 | TECHNICIAN, ELEC, SR-MED FAC | 22. | $5,046 | $29.00 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8683 | TECHNICIAN, ELEC-MED FAC | 1. | $3,551 | $20.41 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8683 | TECHNICIAN, ELEC-MED FAC | 2. | $3,593 | $20.65 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8683 | TECHNICIAN, ELEC-MED FAC | 3. | $3,649 | $20.97 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8683 | TECHNICIAN, ELEC-MED FAC | 4. | $3,685 | $21.18 | $2.00 | $3.25 | $1.00 | 50% | | |
| 019 | 8683 | TECHNICIAN, ELEC-MED FAC | 5. | $3,730 | $21.44 | $2.00 | $3.25 | $1.00 | 50% | | |

- 162 -
