## APPENDIX A

| LINK CODE | TITLE CODE | TITLE NAME | STEP | MONTHLY RATE | HOURLY RATE | SHIFT DIFFERENTIAL | | | ON CALL RATES | | |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| | | | | | | EVE | NIGHT | WKEND | 1 | 2 | 3 |

**SAN FRANCISCO – cont.**
**January 1, 2004**

| 028 | 9233 | PATIENT CARE ASSISTANT | 22. | $3,263 | $18.75 | $2.00 | $3.25 | $1.00 | 50% | | |
| 028 | 9233 | PATIENT CARE ASSISTANT | 23. | $3,305 | $18.99 | $2.00 | $3.25 | $1.00 | 50% | | |
| 028 | 9233 | PATIENT CARE ASSISTANT | 24. | $3,346 | $19.23 | $2.00 | $3.25 | $1.00 | 50% | | |
| 028 | 9234 | PATIENT CARE ASSISTANT PERDIEM | 1. | $3,267 | $18.78 | $2.00 | $3.25 | $1.00 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 1. | $3,670 | $21.09 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 2. | $3,715 | $21.35 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 3. | $3,761 | $21.61 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 4. | $3,809 | $21.89 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 5. | $3,857 | $22.17 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 6. | $3,906 | $22.45 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 7. | $3,954 | $22.72 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 8. | $4,004 | $23.01 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 9. | $4,053 | $23.29 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 10. | $4,102 | $23.57 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 11. | $4,157 | $23.89 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 12. | $4,209 | $24.19 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 13. | $4,260 | $24.48 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 14. | $4,313 | $24.79 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 15. | $4,368 | $25.10 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 16. | $4,423 | $25.42 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 17. | $4,477 | $25.73 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 18. | $4,534 | $26.06 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 19. | $4,591 | $26.39 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 20. | $4,646 | $26.70 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 21. | $4,705 | $27.04 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 22. | $4,764 | $27.38 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 23. | $4,825 | $27.73 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8944 | PHYSICAL THERAPY ASSISTANT III | 24. | $4,885 | $28.07 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8945 | PHYSICAL THERAPY ASSISTANT II | 1. | $3,274 | $18.82 | $2.25 | $3.75 | $1.25 | 50% | | |
