# APPENDIX A

| LINK CODE | TITLE CODE | TITLE NAME | STEP | MONTHLY RATE | HOURLY RATE | SHIFT DIFFERENTIAL | | | ON CALL RATES | | |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| | | | | | | EVE | NIGHT | WKEND | 1 | 2 | 3 |

**SAN FRANCISCO – cont.**
**January 1, 2004**

| 033 | 8949 | CERT OCCUP THERAPY ASST I | 1. | $2,939 | $16.89 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 2. | $2,974 | $17.09 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 3. | $3,012 | $17.31 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 4. | $3,049 | $17.52 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 5. | $3,090 | $17.76 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 6. | $3,125 | $17.96 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 7. | $3,164 | $18.18 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 8. | $3,205 | $18.42 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 9. | $3,245 | $18.65 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 10. | $3,285 | $18.88 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 11. | $3,325 | $19.11 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 12. | $3,368 | $19.36 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 13. | $3,410 | $19.60 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 14. | $3,452 | $19.84 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 15. | $3,497 | $20.10 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 16. | $3,538 | $20.33 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 17. | $3,585 | $20.60 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 18. | $3,630 | $20.86 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 19. | $3,675 | $21.12 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 20. | $3,719 | $21.37 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 21. | $3,765 | $21.64 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 22. | $3,813 | $21.91 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 23. | $3,862 | $22.20 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8949 | CERT OCCUP THERAPY ASST I | 24. | $3,909 | $22.47 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8951 | PHYSICAL THERAPY ASST PD | 1. | $4,788 | $27.52 | $2.25 | $3.75 | $1.25 | 50% | | |
| 033 | 8952 | CERT OCCUP THERAPY ASST PD | 1. | $4,788 | $27.52 | $2.25 | $3.75 | $1.25 | 50% | | |
| 034 | 8987 | TECHNOLOGIST CYTOGENETIC II | 1. | $4,053 | $23.29 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8987 | TECHNOLOGIST CYTOGENETIC II | 2. | $4,102 | $23.57 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8987 | TECHNOLOGIST CYTOGENETIC II | 3. | $4,154 | $23.87 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8987 | TECHNOLOGIST CYTOGENETIC II | 4. | $4,209 | $24.19 | $3.00 | $4.50 | $1.50 | | | |
