# APPENDIX A

SAN FRANCISCO - cont.
January 1, 2004

| LINK CODE | TITLE CODE | TITLE NAME | STEP | MONTHLY RATE | HOURLY RATE | SHIFT DIFFERENTIAL EVE | SHIFT DIFFERENTIAL NIGHT | SHIFT DIFFERENTIAL WKEND | ON CALL RATES 1 | ON CALL RATES 2 | ON CALL RATES 3 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | 13. | $4,285 | $24.63 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | 14. | $4,338 | $24.93 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | 15. | $4,393 | $25.25 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | 16. | $4,446 | $25.55 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | 17. | $4,503 | $25.88 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | 18. | $4,558 | $26.20 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | 19. | $4,618 | $26.54 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | 20. | $4,676 | $26.87 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | 21. | $4,734 | $27.21 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | 22. | $4,792 | $27.54 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | 23. | $4,851 | $27.88 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8988 | TECHNOLOGIST, CYTOGENETIC I | 24. | $4,911 | $28.22 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8989 | TECHNOLOGIST, CYTO, TRAINEE | 1. | $3,218 | $18.49 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8989 | TECHNOLOGIST, CYTO, TRAINEE | 2. | $3,258 | $18.72 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8989 | TECHNOLOGIST, CYTO, TRAINEE | 3. | $3,297 | $18.95 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8989 | TECHNOLOGIST, CYTO, TRAINEE | 4. | $3,339 | $19.19 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8989 | TECHNOLOGIST, CYTO, TRAINEE | 5. | $3,381 | $19.43 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8989 | TECHNOLOGIST, CYTO, TRAINEE | 6. | $3,424 | $19.68 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8989 | TECHNOLOGIST, CYTO, TRAINEE | 7. | $3,466 | $19.92 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8989 | TECHNOLOGIST, CYTO, TRAINEE | 8. | $3,509 | $20.17 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8989 | TECHNOLOGIST, CYTO, TRAINEE | 9. | $3,553 | $20.42 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8989 | TECHNOLOGIST, CYTO, TRAINEE | 10. | $3,598 | $20.68 | $3.00 | $4.50 | $1.50 | | | |
| 034 | 8989 | TECHNOLOGIST, CYTO, TRAINEE | 11. | $3,642 | $20.93 | $3.00 | $4.50 | $1.50 | | | |
