# APPENDIX A

**SAN FRANCISCO – cont.**
**January 1, 2004**

| LINK CODE | TITLE CODE | TITLE NAME | STEP | MONTHLY RATE | HOURLY RATE | SHIFT DIFFERENTIAL | | | ON CALL RATES | | |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| | | | | | | EVE | NIGHT | WKEND | 1 | 2 | 3 |
| 034 | 9057 | HISTOTECHNOLOGIST, LEAD | 27. | $6,342 | $36.45 | $3.00 | $4.50 | $1.50 | 50% | | |
| 034 | 9057 | HISTOTECHNOLOGIST, LEAD | 28. | $6,422 | $36.91 | $3.00 | $4.50 | $1.50 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 1. | $3,315 | $19.05 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 2. | $3,356 | $19.29 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 3. | $3,399 | $19.53 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 4. | $3,439 | $19.76 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 5. | $3,481 | $20.01 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 6. | $3,528 | $20.28 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 7. | $3,571 | $20.52 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 8. | $3,615 | $20.78 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 9. | $3,660 | $21.03 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 10. | $3,708 | $21.31 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 11. | $3,752 | $21.56 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 12. | $3,800 | $21.84 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 13. | $3,848 | $22.11 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 14. | $3,895 | $22.39 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 15. | $3,943 | $22.66 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 16. | $3,995 | $22.96 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 17. | $4,043 | $23.24 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 18. | $4,094 | $23.53 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 19. | $4,145 | $23.82 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 20. | $4,196 | $24.11 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 21. | $4,251 | $24.43 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 22. | $4,303 | $24.73 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 23. | $4,354 | $25.02 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 24. | $4,410 | $25.34 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 25. | $4,466 | $25.67 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 26. | $4,523 | $25.99 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 27. | $4,579 | $26.32 | $2.00 | $3.25 | $1.00 | 50% | | |
| 034 | 9065 | HISTOTECHNOLOGIST I | 28. | $4,634 | $26.63 | $2.00 | $3.25 | $1.00 | 50% | | |
