# APPENDIX B
# VACATION CREDIT TABLES

## Vacation Credit for Employees Having Less Than 10 Years of Qualifying Service

| NUMBER OF HOURS ON PAY STATUS | | | | Percent of Time on Pay Status | Hours of Vacation Earned |
| :--- | :--- | :--- | :--- | :--- | :--- |
| **160-Hr.* Month** | **168-Hr.* Month** | **176-Hr.* Month** | **184-Hr.* Month** | | |
| 0 - 79 | 0 - 83 | 0 - 87 | 0 - 91 | 0 - 49 | 0 |
| 80 - 87 | 84 - 92 | 88 - 96 | 92 - 101 | 50 - 54 | 5 |
| 88 - 103 | 93 - 109 | 97 - 114 | 102 - 119 | 55 - 64 | 6 |
| 104 - 119 | 110 - 125 | 115 - 131 | 120 - 137 | 65 - 74 | 7 |
| 120 - 135 | 126 - 142 | 132 - 149 | 138 - 156 | 75 - 84 | 8 |
| 136 - 151 | 143 - 159 | 150 - 167 | 157 - 174 | 85 - 94 | 9 |
| 152 - 160 | 160 - 168 | 168 - 176 | 175 - 184 | 95 - 100 | 10 |

# VACATION CREDIT TABLES

## Vacation Credit for Employees Having 10 but Less Than 15 Years of Qualifying Service

| NUMBER OF HOURS ON PAY STATUS | | | | Percent of Time on Pay Status | Hours of Vacation Earned |
| :--- | :--- | :--- | :--- | :--- | :--- |
| **160-Hr.* Month** | **168-Hr.* Month** | **176-Hr.* Month** | **184-Hr.* Month** | | |
| 0 - 79 | 0 - 83 | 0 - 87 | 0 - 91 | 0 - 49 | 0 |
| 80 - 85 | 84 - 91 | 88 - 95 | 92 - 99 | 50 - 54 | 6 |
| 86 - 97 | 92 - 104 | 96 - 109 | 100 - 114 | 55 - 62 | 7 |
| 97 - 108 | 105 - 119 | 110 - 124 | 115 - 130 | 63 - 70 | 8 |
| 109 - 119 | 120 - 133 | 125 - 139 | 131 - 145 | 71 - 79 | 9 |
| 120 - 139 | 134 - 146 | 140 - 153 | 146 - 160 | 80 - 87 | 10 |
| 140 - 153 | 147 - 161 | 154 - 168 | 161 - 176 | 88 - 95 | 11 |
| 154 - 160 | 162 - 168 | 169 - 176 | 177 - 184 | 96 - 100 | 12 |

* Hours on pay status, including paid holiday hours, but excluding all paid overtime hours.

# VACATION CREDIT TABLES

## Vacation Credit for Employees Having 15 But Less Than 20 Years of Qualifying Service

| NUMBER OF HOURS ON PAY STATUS | | | | Percent of Time on Pay Status | Hours of Vacation Earned |
| :--- | :--- | :--- | :--- | :--- | :--- |
| **160-Hr.* Month** | **168-Hr.* Month** | **176-Hr.* Month** | **184-Hr.* Month** | | |
| 0 - 79 | 0 - 83 | 0 - 87 | 0 - 91 | 0 - 49 | 0 |
| 80 - 85 | 84 - 90 | 88 - 94 | 92 - 98 | 50 - 53 | 7 |
| 86 - 97 | 91 - 102 | 95 - 106 | 99 - 111 | 54 - 60 | 8 |
| 98 - 108 | 103 - 14 | 107 - 119 | 112 - 124 | 61 - 67 | 9 |
| 109 - 119 | 115 - 125 | 120 - 131 | 125 - 137 | 68 - 74 | 10 |
| 120 - 131 | 126 - 138 | 132 - 144 | 138 - 151 | 75 - 82 | 11 |
| 132 - 142 | 139 - 150 | 145 - 157 | 152 - 164 | 83 - 89 | 12 |
| 143 - 154 | 151 - 162 | 158 - 169 | 165 - 177 | 90 - 96 | 13 |
| 155 - 160 | 163 - 168 | 170 - 176 | 178 - 184 | 97 - 100 | 14 |

- 174 -
