## Contents

| | | Page |
| :--- | :--- | :--- |
| Definitions | | 1 |
| Article 1. | Purpose | 1 |
| Article 2. | Recognition | 1 |
| Article 3. | Employee Bargaining Unit Defined | 2 |
| Article 4. | School Board Authority | 3 |
| Article 5. | Negotiations Procedures | 3 |
| Article 6. | Grievance Procedure | 5 |
| Article 7. | Wages | 8 |
| Supporting Services General Pay Schedule | | 11 |
| Supporting Services Annual Rates | | 12 |
| Article 8. | Overtime | 13 |
| Article 9. | Holiday Pay | 13 |
| Article 10. | Higher Level Assignment | 14 |
| Article 11. | Wage Surveys and Studies | 14 |
| Article 12. | Leaves | 15 |
| Article 13. | Working Hours and Work Load | 35 |
| Article 14. | Prohibition of Volunteer Work | 37 |
| Article 15. | Reduction in Force | 37 |
| Article 16. | Position Descriptions | 39 |
| Article 17. | Discipline and Discharge | 39 |
| Article 18. | Dues Checkoff | 40 |
| Article 19. | Filling of Vacancies | 41 |
| Article 20. | Rights of the Council | 42 |
| Article 21. | Rights of MCCSSE Representatives to Enter MCPS Facilities | 46 |
| Article 22. | Safety and Health | 46 |
| Article 23. | Employee Benefit Plan | 47 |
| Article 24. | Protection of Persons and Property | 50 |
| Article 25. | Uniforms | 51 |
| Article 26. | Career Development and Training | 51 |
| Article 27. | Personnel Files | 53 |
| Article 28. | Facilities | 54 |
| Article 29. | Use of Private Automobile | 55 |
| Article 30. | Liability for Monies | 55 |
| Article 31. | Recrediting of Former Service Credits | 56 |
| Article 32. | Employee Rights | 56 |
| Article 33. | Prohibition of Strikes, Slowdowns, and Work Stoppages | 56 |
| Article 34. | Provisions of Law and Regulations and Severability | 57 |
| Article 35. | Official Vehicle Operators | 57 |
| Article 36. | Authority—Building Services Manager | 57 |
| Article 37. | Transportation | 57 |
