## Supporting Services Annual Rates

| Hourly Rate | Annual Rate* | Hourly Rate | Annual Rate* | Hourly Rate | Annual Rate* |
| :--- | :--- | :--- | :--- | :--- | :--- |
| $6.89 | $14,331 | $13.49 | $28,059 | $22.35 | $46,488 |
| 7.12 | 14,809 | 13.75 | 28,600 | 22.44 | 46,675 |
| 7.40 | 15,392 | 13.93 | 28,974 | 22.80 | 47,424 |
| 7.71 | 16,036 | 14.03 | 29,182 | 22.90 | 47,632 |
| 7.99 | 16,619 | 14.20 | 29,536 | 23.37 | 48,609 |
| 8.33 | 17,326 | 14.47 | 30,097 | 23.51 | 48,900 |
| 8.66 | 18,012 | 14.57 | 30,305 | 23.84 | 49,587 |
| 8.87 | 18,449 | 14.76 | 30,700 | 24.00 | 49,920 |
| 9.04 | 18,803 | 14.84 | 30,867 | 24.48 | 50,918 |
| 9.05 | 18,824 | 15.14 | 31,491 | 24.64 | 51,251 |
| 9.24 | 19,219 | 15.29 | 31,803 | 24.97 | 51,937 |
| 9.42 | 19,593 | 15.45 | 32,136 | 25.12 | 52,249 |
| 9.43 | 19,614 | 15.60 | 32,448 | 25.61 | 53,268 |
| 9.59 | 19,947 | 15.91 | 33,092 | 25.77 | 53,601 |
| 9.62 | 20,009 | 16.07 | 33,425 | 26.13 | 54,350 |
| 9.79 | 20,363 | 16.23 | 33,758 | 26.31 | 54,724 |
| 9.98 | 20,758 | 16.41 | 34,132 | 26.83 | 55,806 |
| 9.99 | 20,779 | 16.74 | 34,819 | 26.98 | 56,118 |
| 10.18 | 21,174 | 16.85 | 35,048 | 27.37 | 56,929 |
| 10.20 | 21,216 | 17.08 | 35,526 | 27.52 | 57,241 |
| 10.39 | 21,611 | 17.20 | 35,776 | 28.06 | 58,364 |
| 10.40 | 21,632 | 17.53 | 36,462 | 28.24 | 58,739 |
| 10.61 | 22,068 | 17.70 | 36,816 | 28.63 | 59,550 |
| 10.83 | 22,526 | 17.88 | 37,190 | 28.83 | 59,966 |
| 10.84 | 22,547 | 18.08 | 37,606 | 29.40 | 61,152 |
| 11.06 | 23,004 | 18.44 | 38,355 | 29.57 | 61,505 |
| 11.08 | 23,046 | 18.55 | 38,584 | 29.99 | 62,379 |
| 11.29 | 23,483 | 18.81 | 39,124 | 30.14 | 62,691 |
| 11.53 | 23,982 | 18.93 | 39,374 | 30.75 | 63,960 |
| 11.76 | 24,460 | 19.32 | 40,185 | 30.99 | 64,459 |
| 11.99 | 24,939 | 19.51 | 40,580 | 31.37 | 65,249 |
| 12.02 | 25,001 | 19.71 | 40,996 | 31.60 | 65,728 |
| 12.23 | 25,438 | 19.89 | 41,371 | 32.23 | 67,038 |
| 12.26 | 25,500 | 20.29 | 42,203 | 32.47 | 67,537 |
| 12.51 | 26,020 | 20.46 | 42,556 | 32.88 | 68,390 |
| 12.59 | 26,187 | 20.70 | 43,056 | 33.13 | 68,910 |
| 12.76 | 26,540 | 20.90 | 43,472 | 33.80 | 70,304 |
| 12.85 | 26,728 | 21.32 | 44,345 | 34.48 | 71,718 |
| 13.11 | 27,268 | 21.46 | 44,636 | 35.46 | 73,756 |
| 13.21 | 27,476 | 21.75 | 45,240 | | |
| 13.38 | 27,830 | 21.89 | 45,531 | | |

*Based on 2080 hrs.

12
