| Section 12.3 | Procedures | 41 |
|---|---|---|
| Section 12.4 | Employee Rights | 41 |
| Section 12.5 | Official Time and Leave | 41 |
| Section 12.6 | Grievance Procedures | 42 |
| Section 12.7 | Right to Information | 43 |
| Section 12.8 | Arbitration | 43 |
| Section 12.9 | Arbitrator Selection | 43-44 |
| Section 12.10 | Arbitration Expenses | 44 |
| Section 12.11 | Arbitration Decision | 44 |
| Section 12.12 | Time Limits | 44 |
| Section 12.13 | Withdrawing of Grievances | 44 |
| ARTICLE 13 | EMPLOYEE CONDUCT | 45 |
| Section 13.1 | General | 45 |
| Section 13.2 | Douglas Factors | 45-46 |
| Section 13.3 | Investigation, Examination and Representation | 46-47 |
| Section 13.4 | Non-disciplinary and Disciplinary Actions | 47 |
| Section 13.5 | Adverse Action | 47 |
| ARTICLE 14 | Furlough and Reduction in Force (RIF) | 48 |
| Section 14.1 | Furlough | 48 |
| Section 14.2 | Reduction-In-Force (RIF) | 48 |
| ARTICLE 15 | MERIT SYSTEM | 49 |
| Section 15.1 | General Provisions | 49 |
| Section 15.2 | Priority Placement | 49 |
| Section 15.3 | Area of Consideration | 49-50 |
| ARTICLES 16 | ENVIRONMENTAL DIFFERENTIAL AND HAZARDOUS DUTY PAY (EDP & HDP) | 50 |
| Section 16.1 | Reduction of Hazardous Working Conditions | 50 |
| Section 16.2 | Environmental Differential Pays (EDP)/ Hazardous Duty Pays (HDP) | 50 |
| Section 16.3 | Hazardous Weather Conditions | 50 |
| ARTICLE 17 | POSITION DESCRIPTIONS | 51 |
| Section 17.1 | Employee Awareness of Assigned Duties | 51 |
| Section 17.2 | Other Duties as Assigned | 51 |
| ARTICLE 18 | EMPLOYEE DEVELOPMENT AND TRAINING | 52 |
| Section 18.1 | Job Related Training and Qualifications | 52 |
| Section 18.2 | Personal Development | 52 |
| ARTICLE 19 | TEMPORARY DUTY (TDY) AND TRAVEL | 53 |
| Section 19.1 | General | 53 |

Agreement Between the Adjutant General of Michigan and the Laborers International Union of North America (LIUNA)
September 2015
4
