# Your Right to Representation

As a UFCW Local 371 member you have the right to Steward representation during conversations with management or security which may lead to discipline or involves a security investigation. Follow these steps to insure that your right is preserved.

1. DEMAND UNION REPRESENTATION. You must ask for representation- This right is not automatic.

2. REFUSE TO PROCEED WITHOUT UNION REPRESENTATION. If you are denied this right, stay in the room but remain silent.

3. DO NOT MAKE ANY WRITTEN OR VERBAL STATEMENT OF GUILT OR INNOCENCE. Making NO statement is the most appropriate action.

4. DO NOT WAIVE THIS RIGHT. If you do so, any statement you make can be used against you.

**My Stewards Are:**


My Business Representative is:**

UFCW LOCAL 371 1-800-882-5571 #

# INDEX

| PAGE | ARTICLE |
| :--- | :--- |
| 22 | 15 |
| 4 | 4 |
| 21 | 14 |
| 32 | 27 |
| 45 | 32 |
| 15 | 10 |
| 32 | 28 |
| 16 | 11 |
| 9 | 7 |
| 36 | 29 |
| 23 | 20 |
| 26 | 24 |
| 12 | 8 |
| 2 | 2 |
| 24 | 23 |
| 24 | 22 |
| 5 | 5 |
| 22 | 16 |
| 18 | 12 |
| 1 | 1 |
| 22 | 19 |
| 22 | 17 |
| 26 | 25 |
| 44 | 31 |
| 22 | 18 |
| 19 | 13 |
| 31 | 26 |
| 15 | 9 |
| 3 | 3 |
| 7 | 6 |
| 23 | 21 |
| 39 | 30 |
