Identifier,Response,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Successful,Error Log,Web Search Sources
8bc66d13_batch0,,,4233,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
ee2ae3cb_batch0,,,21897,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
9e37bc07_batch0,,,13149,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
e25866cf_batch0,,,20506,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
7828ea6d_batch0,,,34877,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
6b122751_batch0,,,51720,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
8c2921d1_batch0,,,36427,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
8c59bca6_batch0,,,18560,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
633dab55_batch0,,,2554,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
f02aa9fd_batch0,,,28309,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
fba53a5f_batch0,,,48541,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
45c7a9fe_batch0,,,47247,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
10fdb2a6_batch0,,,37465,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
694aa4ce_batch0,,,9559,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
d346416a_batch0,,,20019,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
2d60cf9d_batch0,,,14555,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
41fc7706_batch0,,,28553,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
4588158d_batch0,,,15789,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
f8fbe273_batch0,,,19823,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
3eb14800_batch0,,,30173,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
