Identifier,Response,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Successful,Error Log,Web Search Sources,Cost,Batch,Pair,IdA,IdB
382be20e,,,18012,,,,False,['Connection error.'],,0.0009006000000000001,0,9,CBA_08,CBA_18
87ab8a81,,,65476,,,,False,['Connection error.'],,0.0032738000000000003,0,5,CBA_07,CBA_09
d59d419e,,,19691,,,,False,['Connection error.'],,0.00098455,0,22,CBA_08,CBA_20
7b6236fc,,,23783,,,,False,['Connection error.'],,0.00118915,0,11,CBA_17,CBA_19
52f64f72,,,85675,,,,False,['Connection error.'],,0.00428375,0,2,CBA_05,CBA_16
792bfd9b,,,53943,,,,False,['Connection error.'],,0.00269715,0,17,CBA_02,CBA_18
8d5bb990,,,59031,,,,False,['Connection error.'],,0.0029515500000000003,0,3,CBA_15,CBA_16
e2aeeec6,,,54656,,,,False,['Connection error.'],,0.0027328000000000005,0,27,CBA_07,CBA_12
83c1b43a,,,46538,,,,False,['Connection error.'],,0.0023269000000000002,0,29,CBA_03,CBA_07
2d6b0d8e,,,62855,,,,False,['Connection error.'],,0.0031427499999999997,0,20,CBA_03,CBA_04
1214b4d8,,,65687,,,,False,['Connection error.'],,0.00328435,0,12,CBA_01,CBA_16
c57ab5ba,,,63999,,,,False,['Connection error.'],,0.00319995,0,18,CBA_05,CBA_08
d44a68b8,,,48728,,,,False,['Connection error.'],,0.0024364,0,0,CBA_01,CBA_06
1c70e3d8,,,40194,,,,False,['Connection error.'],,0.0020097,0,25,CBA_06,CBA_13
0b4f885f,,,32211,,,,False,['Connection error.'],,0.0016105499999999999,0,4,CBA_03,CBA_20
4e178181,,,56475,,,,False,['Connection error.'],,0.00282375,0,14,CBA_09,CBA_19
835c3772,,,29051,,,,False,['Connection error.'],,0.0014525500000000002,0,16,CBA_14,CBA_19
0189e830,,,38779,,,,False,['Connection error.'],,0.00193895,0,13,CBA_04,CBA_20
ec10cb2c,,,77089,,,,False,['Connection error.'],,0.0038544500000000006,0,23,CBA_09,CBA_10
5e81518a,,,44397,,,,False,['Connection error.'],,0.00221985,0,19,CBA_10,CBA_17
2ac5367d,,,70973,,,,False,['Connection error.'],,0.00354865,0,26,CBA_04,CBA_12
a75e6c35,,,61359,,,,False,['Connection error.'],,0.00306795,0,24,CBA_05,CBA_11
9ffbbc49,,,49245,,,,False,['Connection error.'],,0.00246225,0,28,CBA_11,CBA_12
e0051e9b,,,49665,,,,False,['Connection error.'],,0.00248325,0,15,CBA_10,CBA_14
5f035018,,,22242,,,,False,['Connection error.'],,0.0011121000000000002,0,6,CBA_13,CBA_18
8f9b8cd9,,,34047,,,,False,['Connection error.'],,0.00170235,0,8,CBA_14,CBA_17
9e2c76b5,,,50119,,,,False,['Connection error.'],,0.00250595,0,1,CBA_01,CBA_15
c9d630f5,,,71895,,,,False,['Connection error.'],,0.0035947500000000003,0,21,CBA_02,CBA_06
6a0a72df,,,64538,,,,False,['Connection error.'],,0.0032269,0,7,CBA_02,CBA_11
a2e918a7,,,41585,,,,False,['Connection error.'],,0.00207925,0,10,CBA_13,CBA_15
