Identifier,Response,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Successful,Error Log,Web Search Sources
8c59bca6_batch0,,,18555,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
f8fbe273_batch0,,,19818,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
d346416a_batch0,,,20014,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
e25866cf_batch0,,,20501,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
fba53a5f_batch0,,,48536,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
7828ea6d_batch0,,,34872,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
8bc66d13_batch0,,,4228,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
2d60cf9d_batch0,,,14550,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
9e37bc07_batch0,,,13144,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
45c7a9fe_batch0,,,47242,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
3eb14800_batch0,,,30168,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
8c2921d1_batch0,,,36422,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
ee2ae3cb_batch0,,,21892,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
6b122751_batch0,,,51715,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
f02aa9fd_batch0,,,28304,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
10fdb2a6_batch0,,,37460,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
633dab55_batch0,,,2549,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
41fc7706_batch0,,,28548,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
694aa4ce_batch0,,,9554,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
4588158d_batch0,,,15784,,,,False,"[""Connection error."", ""Connection error."", ""Connection error.""]",
