Identifier,Response,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Successful,Error Log,Web Search Sources,Cost,Batch,Pair,IdA,IdB
b9735173,,,62850,,,,False,['Connection error.'],,0.0031425000000000003,0,20,CBA_03,CBA_04
65a10230,,,18007,,,,False,['Connection error.'],,0.00090035,0,9,CBA_08,CBA_18
3c045b39,,,22237,,,,False,['Connection error.'],,0.00111185,0,6,CBA_13,CBA_18
cab0354c,,,71890,,,,False,['Connection error.'],,0.0035945,0,21,CBA_02,CBA_06
71deeea6,,,70968,,,,False,['Connection error.'],,0.0035484,0,26,CBA_04,CBA_12
0f2d1420,,,29046,,,,False,['Connection error.'],,0.0014523000000000001,0,16,CBA_14,CBA_19
851d9c7c,,,85670,,,,False,['Connection error.'],,0.0042835,0,2,CBA_05,CBA_16
3264795b,,,38774,,,,False,['Connection error.'],,0.0019387000000000002,0,13,CBA_04,CBA_20
c415e60c,,,19686,,,,False,['Connection error.'],,0.0009843,0,22,CBA_08,CBA_20
a8153cc7,,,46533,,,,False,['Connection error.'],,0.00232665,0,29,CBA_03,CBA_07
26e644a7,,,32206,,,,False,['Connection error.'],,0.0016103,0,4,CBA_03,CBA_20
87579364,,,48723,,,,False,['Connection error.'],,0.00243615,0,0,CBA_01,CBA_06
12038c2a,,,49660,,,,False,['Connection error.'],,0.0024830000000000004,0,15,CBA_10,CBA_14
5bb2b1e5,,,63994,,,,False,['Connection error.'],,0.0031996999999999998,0,18,CBA_05,CBA_08
28bb7e0a,,,53938,,,,False,['Connection error.'],,0.0026969000000000003,0,17,CBA_02,CBA_18
c127a174,,,44392,,,,False,['Connection error.'],,0.0022196,0,19,CBA_10,CBA_17
94c7fefd,,,41580,,,,False,['Connection error.'],,0.002079,0,10,CBA_13,CBA_15
a0377f86,,,54651,,,,False,['Connection error.'],,0.0027325500000000003,0,27,CBA_07,CBA_12
75eb1a4b,,,65682,,,,False,['Connection error.'],,0.0032841000000000003,0,12,CBA_01,CBA_16
d1cb1bb0,,,50114,,,,False,['Connection error.'],,0.0025057,0,1,CBA_01,CBA_15
1c8a9aac,,,56470,,,,False,['Connection error.'],,0.0028235,0,14,CBA_09,CBA_19
50b038ec,,,34042,,,,False,['Connection error.'],,0.0017021000000000002,0,8,CBA_14,CBA_17
88ac76fc,,,77084,,,,False,['Connection error.'],,0.0038542000000000003,0,23,CBA_09,CBA_10
9eb96ca7,,,61354,,,,False,['Connection error.'],,0.0030677,0,24,CBA_05,CBA_11
2e52c190,,,40189,,,,False,['Connection error.'],,0.0020094500000000003,0,25,CBA_06,CBA_13
952c3947,,,64533,,,,False,['Connection error.'],,0.0032266499999999997,0,7,CBA_02,CBA_11
3726c103,,,65471,,,,False,['Connection error.'],,0.00327355,0,5,CBA_07,CBA_09
0a5d0df1,,,59026,,,,False,['Connection error.'],,0.0029513000000000005,0,3,CBA_15,CBA_16
7f18a849,,,23778,,,,False,['Connection error.'],,0.0011889000000000001,0,11,CBA_17,CBA_19
a0e4b748,,,49240,,,,False,['Connection error.'],,0.002462,0,28,CBA_11,CBA_12
