Identifier,Response,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Successful,Error Log,Web Search Sources,Cost,Batch,Pair,IdA,IdB
fe8bcc24,,,71890,,,,False,['Connection error.'],,0.0035945,0,21,CBA_02,CBA_06
ce4a010c,,,49660,,,,False,['Connection error.'],,0.0024830000000000004,0,15,CBA_10,CBA_14
07e5bdae,,,53938,,,,False,['Connection error.'],,0.0026969000000000003,0,17,CBA_02,CBA_18
dc2af51f,,,22237,,,,False,['Connection error.'],,0.00111185,0,6,CBA_13,CBA_18
82289dfa,,,50114,,,,False,['Connection error.'],,0.0025057,0,1,CBA_01,CBA_15
85d19faf,,,65682,,,,False,['Connection error.'],,0.0032841000000000003,0,12,CBA_01,CBA_16
61df0a8a,,,56470,,,,False,['Connection error.'],,0.0028235,0,14,CBA_09,CBA_19
3c8b7456,,,49240,,,,False,['Connection error.'],,0.002462,0,28,CBA_11,CBA_12
fbc8f4a4,,,54651,,,,False,['Connection error.'],,0.0027325500000000003,0,27,CBA_07,CBA_12
74e38108,,,41580,,,,False,['Connection error.'],,0.002079,0,10,CBA_13,CBA_15
11184895,,,29046,,,,False,['Connection error.'],,0.0014523000000000001,0,16,CBA_14,CBA_19
5f9658ee,,,77084,,,,False,['Connection error.'],,0.0038542000000000003,0,23,CBA_09,CBA_10
fd42ad05,,,85670,,,,False,['Connection error.'],,0.0042835,0,2,CBA_05,CBA_16
cb871fb8,,,18007,,,,False,['Connection error.'],,0.00090035,0,9,CBA_08,CBA_18
68f16dcf,,,64533,,,,False,['Connection error.'],,0.0032266499999999997,0,7,CBA_02,CBA_11
4e7702b0,,,48723,,,,False,['Connection error.'],,0.00243615,0,0,CBA_01,CBA_06
b9d53ae6,,,32206,,,,False,['Connection error.'],,0.0016103,0,4,CBA_03,CBA_20
fb599371,,,38774,,,,False,['Connection error.'],,0.0019387000000000002,0,13,CBA_04,CBA_20
543751f7,,,59026,,,,False,['Connection error.'],,0.0029513000000000005,0,3,CBA_15,CBA_16
b901b677,,,70968,,,,False,['Connection error.'],,0.0035484,0,26,CBA_04,CBA_12
34926469,,,23778,,,,False,['Connection error.'],,0.0011889000000000001,0,11,CBA_17,CBA_19
d88fd53a,,,40189,,,,False,['Connection error.'],,0.0020094500000000003,0,25,CBA_06,CBA_13
6f8cc310,,,65471,,,,False,['Connection error.'],,0.00327355,0,5,CBA_07,CBA_09
2e2e604b,,,63994,,,,False,['Connection error.'],,0.0031996999999999998,0,18,CBA_05,CBA_08
ed18d755,,,46533,,,,False,['Connection error.'],,0.00232665,0,29,CBA_03,CBA_07
233a10ce,,,62850,,,,False,['Connection error.'],,0.0031425000000000003,0,20,CBA_03,CBA_04
c1a90869,,,19686,,,,False,['Connection error.'],,0.0009843,0,22,CBA_08,CBA_20
40549f2b,,,61354,,,,False,['Connection error.'],,0.0030677,0,24,CBA_05,CBA_11
78161ca8,,,34042,,,,False,['Connection error.'],,0.0017021000000000002,0,8,CBA_14,CBA_17
f969c903,,,44392,,,,False,['Connection error.'],,0.0022196,0,19,CBA_10,CBA_17
