Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
6b122751_batch0,"[""{\n\t\""employer_cost_share\"": 0\n}""]",,11.591827869415283,51718,1024,1086,,[],['resp_0c0dfee77dd8f045006998a07d781c8196810e50c6cd7ed1e5'],True
7828ea6d_batch0,"[""{\n  \""employer_cost_share\"": 90\n}""]",,16.667728185653687,34875,1536,1560,,[],['resp_08c0820d7d7281a6006998a08118fc81939eab97f9ebd12f63'],True
41fc7706_batch0,"[""{\n  \""employer_cost_share\"": 92\n}""]",,21.073932886123657,28551,2176,2241,,[],['resp_0ee264fc7221626f006998a07d3f848195aa334b5a185e6e5a'],True
8c59bca6_batch0,"[""{\n\t\""employer_cost_share\"": 0\n}""]",,6.063924789428711,18558,512,541,,[],['resp_040d7e57283247db006998a08ca7008194bc8e6005904ab3e9'],True
f02aa9fd_batch0,"[""{\n\t\""employer_cost_share\"": 85\n}""]",,23.365877866744995,28307,2304,2367,,[],['resp_033a16fa17de095f006998a07d68708197ab4398bcf078c958'],True
4588158d_batch0,"[""{\n\t\""employer_cost_share\"": 0\n}""]",,10.464785814285278,15787,896,970,,[],['resp_02404d3e9378bae7006998a092498c8197befae04c6e02f0c6'],True
9e37bc07_batch0,"[""{\n\t\""employer_cost_share\"": 100\n}""]",,9.38880205154419,13147,960,979,,[],['resp_005eee435478ec76006998a097156c8195a583efc82738ad9c'],True
fba53a5f_batch0,"[""{\n  \""employer_cost_share\"": 92\n}""]",,31.466936826705933,48539,3072,3138,,[],['resp_098e8b81925d1430006998a085fd048194b4eed3bcf3dc0218'],True
e25866cf_batch0,"[""{\n  \""employer_cost_share\"": 0\n}""]",,14.065053939819336,20504,1344,1375,,[],['resp_0f5e69595557eac1006998a09e83548194a2753c0de5450b2c'],True
f8fbe273_batch0,"[""{\n  \""employer_cost_share\"": 70\n}""]",,16.00693702697754,19821,1536,1606,,[],['resp_022453784f8801d9006998a0a683ec8194ad9e13e20656e51e'],True
ee2ae3cb_batch0,"[""{\n\t\""employer_cost_share\"": 95\n}""]",,14.165388107299805,21895,1408,1470,,[],['resp_099655491fb36400006998a0b75c148193ba0349e2f6d99b18'],True
3eb14800_batch0,"[""{\n\t\""employer_cost_share\"": 0\n}""]",,8.00068187713623,30171,512,567,,[],['resp_0ba8bd593cff4d41006998a0c460b08196ad4d09caeae1c3b9'],True
d346416a_batch0,"[""{\n  \""employer_cost_share\"": 100\n}""]",,29.74138903617859,20017,3008,3038,,[],['resp_00afb90ee43bc8c7006998a0ae99348194a420080420005b7f'],True
2d60cf9d_batch0,"[""{\n\t\""employer_cost_share\"": 100\n}""]",,7.077746868133545,14553,768,801,,[],['resp_007ebf5b8a80fa1a006998a0c84b748195a58eca9bf279fb76'],True
694aa4ce_batch0,"[""{\n\t\""employer_cost_share\"": 25\n}""]",,7.412399053573608,9557,832,853,,[],['resp_0f7d1faeeda7982d006998a0ce93d48190a5a75cee2f31da7f'],True
633dab55_batch0,"[""{\n  \""employer_cost_share\"": 40\n}""]",,14.986064910888672,2552,1664,1732,,[],['resp_06a1b993abc6b555006998a0ca2b848194aef8c15a2f9bc7b8'],True
8bc66d13_batch0,"[""{\n\t\""employer_cost_share\"": 100\n}""]",,13.015393018722534,4231,1600,1652,,[],['resp_04aa11420864ae82006998a0d1106c8193bb47193e7b110e49'],True
8c2921d1_batch0,"[""{\n\t\""employer_cost_share\"": 0\n}""]",,14.013952016830444,36425,1344,1417,,[],['resp_01ecf29c7cb43b7d006998a0df049c8196afec00c7370acd15'],True
10fdb2a6_batch0,"[""{\n\t\""employer_cost_share\"": 100\n}""]",,7.255865097045898,37463,640,716,,[],['resp_061f6e9c492cd7ba006998a0ed3f7c8196b256ba94b800d464'],True
45c7a9fe_batch0,"[""{\n  \""employer_cost_share\"": 30\n}""]",,7.898713111877441,47245,704,743,,[],['resp_06d33eba8dda72fe006998a0fe3d588195b833b5b81f1886a7'],True
