Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful,Cost,Batch,Pair,IdA,IdB
ca737e7b,"['{\n  ""employer_cost_share"": ""insufficient signal""\n}']",,18.196443796157837,71893,1856.0,1923.0,,[],['resp_04749a7a2a2afc92006998a10816f08197ba6a88eb5114a426'],True,0.00510625,0,0,CBA_02,CBA_06
8d2483c8,"['{\n  ""employer_cost_share"": ""circle""\n}']",,11.408753871917725,17049,1536.0,1584.0,,[],['resp_0439594d737b5741006998a10f5cbc819494485aff3d5890b9'],True,0.0021004500000000002,0,2,CBA_11,CBA_20
68c883de,,,,67170,,,,"[""Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-iEZCjFXOmv55V4ykGEvHLikc on tokens per min (TPM): Limit 200000, Used 145812, Requested 67393. Please try again in 3.961s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}""]",,False,0.0033585,0,3,CBA_02,CBA_08
d5e71c12,"['{\n  ""employer_cost_share"": ""square""\n}']",,25.668519020080566,57151,3136.0,3202.0,,[],['resp_0a44fc3b8aac902e006998a1083f288196915be04df2fcf4f4'],True,0.00539275,0,1,CBA_13,CBA_16
2fa3dbe7,"['{\n  ""employer_cost_share"": ""square""\n}']",,13.639913082122803,35962,1600.0,1680.0,,[],['resp_08500d1ae3eb0630006998a124adec8190ad88d2405446af59'],True,0.0031101,0,4,CBA_06,CBA_08
ed4f3993,"['{\n  ""employer_cost_share"": ""circle""\n}']",,16.694150924682617,18455,1792.0,1838.0,,[],['resp_0dee8f42ea073caf006998a1304f3c8193ba508ea0019ba343'],True,0.00237475,0,6,CBA_17,CBA_20
9da9c56d,"['{\n  ""employer_cost_share"": ""circle""\n}']",,19.36823868751526,38733,2304.0,2357.0,,[],['resp_06dd479c179e29b9006998a13f2fa08190ba4023e65a4acaa2'],True,0.0038010500000000003,0,8,CBA_06,CBA_07
e9c91001,"['{\n  ""employer_cost_share"": ""draw""\n}']",,19.37256097793579,51687,1920.0,1970.0,,[],['resp_024e4123ed521559006998a14ee5648196b27e7116b23b6008'],True,0.00414035,0,5,CBA_16,CBA_17
65efa8f2,"['{\n  ""employer_cost_share"": ""insufficient signal""\n}']",,14.286691904067993,48400,1408.0,1439.0,,[],['resp_07049e76c5318be3006998a16acdf881979c4f9fb6dcfa545f'],True,0.0035588000000000004,0,10,CBA_07,CBA_10
56c3c0a9,"['{\n  ""employer_cost_share"": ""circle""\n}']",,32.9709951877594,23919,3776.0,3836.0,,[],['resp_02a03955dcf19b58006998a158791c81968da2b0d0a6104a82'],True,0.004240750000000001,0,9,CBA_13,CBA_20
b3c521f2,"['{\n  ""employer_cost_share"": ""circle""\n}']",,14.786025047302246,45629,1536.0,1591.0,,[],['resp_0b0651f453293dfc006998a17c0b088194a21531ec5011a192'],True,0.0035322500000000007,0,12,CBA_08,CBA_10
370de1d8,"['{\n  ""employer_cost_share"": ""square""\n}']",,17.92138695716858,27371,1728.0,1794.0,,[],['resp_03f90f7ef8bb261a006998a18cf0408193b667f2b36e1e504a'],True,0.00277735,0,13,CBA_11,CBA_17
910c5038,"['{\n  ""employer_cost_share"": ""circle""\n}']",,22.69220495223999,32835,2816.0,2889.0,,[],['resp_06b73cac9a62f894006998a19cc3ec81939cae185e7a4692c5'],True,0.00392375,0,14,CBA_11,CBA_13
50df9c14,"['{\n  ""employer_cost_share"": ""circle""\n}']",,19.47763681411743,69947,2432.0,2466.0,,[],['resp_022117eba682d706006998a1addd2c8197abfe70c762964f06'],True,0.005456549999999999,0,7,CBA_02,CBA_07
d90eb259,"['{\n  ""employer_cost_share"": ""square""\n}']",,18.825034141540527,63097,2304.0,2335.0,,[],['resp_023d59c661732e13006998a1c540748194b59fe422c8ffe043'],True,0.0050104500000000005,0,16,CBA_01,CBA_04
f2748855,,,,66261,,,,['Connection error.'],,False,0.00331305,0,15,CBA_10,CBA_12
0304fc3b,,,,50111,,,,['Connection error.'],,False,0.0025055500000000005,0,18,CBA_01,CBA_15
71080410,,,,70099,,,,['Connection error.'],,False,0.0035049499999999997,0,19,CBA_05,CBA_15
be3dbf39,,,,76755,,,,['Connection error.'],,False,0.0038377500000000004,0,11,CBA_01,CBA_05
a987a09d,,,,83079,,,,['Connection error.'],,False,0.00415395,0,17,CBA_04,CBA_05
4786041a,,,,56467,,,,['Connection error.'],,False,0.0028233500000000005,0,22,CBA_09,CBA_19
7e487d22,,,,49462,,,,['Connection error.'],,False,0.0024731,0,23,CBA_09,CBA_18
2bea4c61,,,,47793,,,,['Connection error.'],,False,0.00238965,0,24,CBA_03,CBA_14
0cd466f8,,,,11774,,,,['Connection error.'],,False,0.0005887,0,25,CBA_18,CBA_19
212a9fd6,,,,45647,,,,['Connection error.'],,False,0.0022823500000000003,0,26,CBA_12,CBA_19
9db07867,,,,83335,,,,['Connection error.'],,False,0.00416675,0,27,CBA_09,CBA_12
a4171d73,,,,22038,,,,['Connection error.'],,False,0.0011019,0,28,CBA_14,CBA_18
ea4b3ba3,,,,22038,,,,['Connection error.'],,False,0.0011019,0,29,CBA_14,CBA_18
87af6a62,,,,49867,,,,['Connection error.'],,False,0.00249335,0,30,CBA_03,CBA_15
9914f795,,,,59023,,,,['Connection error.'],,False,0.00295115,0,20,CBA_15,CBA_16
00232045,,,,62847,,,,['Connection error.'],,False,0.0031423500000000004,0,21,CBA_03,CBA_04
