Identifier,Response,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Successful,Error Log,Web Search Sources,Cost,Batch,Pair,IdA,IdB
8c8e1b5f,,,70099,,,,False,['Connection error.'],,0.0035049499999999997,0,1,CBA_05,CBA_15
f80b5db3,,,33316,,,,False,['Connection error.'],,0.0016658,0,13,CBA_06,CBA_11
8c1af267,,,54557,,,,False,['Connection error.'],,0.0027278500000000004,0,21,CBA_04,CBA_13
7b9e93b9,,,57985,,,,False,['Connection error.'],,0.0028992500000000004,0,3,CBA_12,CBA_15
e68bb18d,,,64530,,,,False,['Connection error.'],,0.0032265,0,18,CBA_02,CBA_11
c90e4272,,,65679,,,,False,['Connection error.'],,0.0032839500000000003,0,29,CBA_01,CBA_16
3f25b891,,,57632,,,,False,['Connection error.'],,0.0028816000000000002,0,26,CBA_06,CBA_16
7abc1a5b,,,71887,,,,False,['Connection error.'],,0.0035943500000000005,0,17,CBA_02,CBA_06
cf28142d,,,68025,,,,False,['Connection error.'],,0.00340125,0,2,CBA_05,CBA_14
1928c45f,,,48394,,,,False,['Connection error.'],,0.0024197000000000003,0,14,CBA_07,CBA_10
22c20651,,,75217,,,,False,['Connection error.'],,0.0037608500000000005,0,11,CBA_03,CBA_09
bc0c904c,,,30005,,,,False,['Connection error.'],,0.00150025,0,24,CBA_08,CBA_17
fe52507d,,,49853,,,,False,['Connection error.'],,0.0024926500000000003,0,16,CBA_10,CBA_13
5db137a6,,,55911,,,,False,['Connection error.'],,0.0027955500000000004,0,4,CBA_12,CBA_14
3c60e3e8,,,11774,,,,False,['Connection error.'],,0.0005887,0,6,CBA_18,CBA_19
d299ed80,,,32447,,,,False,['Connection error.'],,0.0016223499999999998,0,12,CBA_01,CBA_20
189e56cc,,,30524,,,,False,['Connection error.'],,0.0015262000000000001,0,10,CBA_03,CBA_18
fdc0a6ab,,,49462,,,,False,['Connection error.'],,0.0024731,0,9,CBA_09,CBA_18
27038665,,,37529,,,,False,['Connection error.'],,0.00187645,0,8,CBA_03,CBA_19
730903a7,,,23717,,,,False,['Connection error.'],,0.00118585,0,30,CBA_14,CBA_20
93f4bfdd,,,84629,,,,False,['Connection error.'],,0.00423145,0,0,CBA_05,CBA_12
18f98c6c,,,52915,,,,False,['Connection error.'],,0.00264575,0,22,CBA_08,CBA_16
305b143a,,,53098,,,,False,['Connection error.'],,0.0026549,0,20,CBA_04,CBA_07
04a4f683,,,41381,,,,False,['Connection error.'],,0.0020690500000000002,0,5,CBA_14,CBA_15
16c89e16,,,44003,,,,False,['Connection error.'],,0.00220015,0,28,CBA_01,CBA_08
dd4dbc71,,,51681,,,,False,['Connection error.'],,0.00258405,0,23,CBA_16,CBA_17
c96d56f3,,,38771,,,,False,['Connection error.'],,0.00193855,0,31,CBA_04,CBA_20
7d4ebb60,,,27365,,,,False,['Connection error.'],,0.0013682500000000001,0,27,CBA_11,CBA_17
4697d769,,,38240,,,,False,['Connection error.'],,0.0019120000000000003,0,15,CBA_07,CBA_13
5ff55980,,,56467,,,,False,['Connection error.'],,0.0028233500000000005,0,7,CBA_09,CBA_19
5d42d0cc,,,67170,,,,False,['Connection error.'],,0.0033585,0,25,CBA_02,CBA_08
b845ad4d,,,64711,,,,False,['Connection error.'],,0.0032355500000000002,0,19,CBA_04,CBA_10
