Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
7828ea6d_batch0,"[""{\n  \""dependent_coverage\"": 90,\n  \""overall_generosity\"": 85,\n  \""additional_benefits\"": 85,\n  \""employer_cost_share\"": 100,\n  \""coverage_breadth\"": 92\n}""]",,19.657235383987427,34986,1600,1687,,[],['resp_0b3cd8f97db7eba10069989e0c0ed08190bafd4da96896e23d'],True
f02aa9fd_batch0,"[""{\n\t\""employer_cost_share\"": 60,\n\t\""dependent_coverage\"": 90,\n\t\""coverage_breadth\"": 90,\n\t\""overall_generosity\"": 85,\n\t\""additional_benefits\"": 75\n}""]",,26.596171855926514,28418,2240,2308,,[],['resp_0f75872b7e8c0a3a0069989e08c3e08196a9e619e3563330c6'],True
6b122751_batch0,"[""{\n  \""coverage_breadth\"": 84,\n  \""employer_cost_share\"": 72,\n  \""overall_generosity\"": 78,\n  \""additional_benefits\"": 70,\n  \""dependent_coverage\"": 90\n}""]",,28.66998291015625,51829,2304,2367,,[],['resp_08c45d3be84acc4f0069989e08d1e88190b67d1c27200a526c'],True
41fc7706_batch0,"[""{\n  \""additional_benefits\"": 75,\n  \""employer_cost_share\"": 85,\n  \""dependent_coverage\"": 90,\n  \""overall_generosity\"": 90,\n  \""coverage_breadth\"": 92\n}""]",,29.407254219055176,28662,2304,2387,,[],['resp_0228943a8c9ad2700069989e08bc7881968634d9cbba7769b0'],True
fba53a5f_batch0,"[""{\n\t\""coverage_breadth\"": 85,\n\t\""additional_benefits\"": 78,\n\t\""overall_generosity\"": 88,\n\t\""dependent_coverage\"": 90,\n\t\""employer_cost_share\"": 90\n}""]",,26.292793035507202,48650,1920,2034,,[],['resp_01cf114138e372d70069989e112db481909ef90107e6ea990c'],True
8c59bca6_batch0,"[""{\n  \""coverage_breadth\"": 60,\n  \""overall_generosity\"": 40,\n  \""employer_cost_share\"": 0,\n  \""additional_benefits\"": 0,\n  \""dependent_coverage\"": 100\n}""]",,16.957406997680664,18669,1344,1404,,[],['resp_0e8995dcfa150cc80069989e1f9d9c81938e8151daa561bf1b'],True
4588158d_batch0,"[""{\n  \""additional_benefits\"": 0,\n  \""overall_generosity\"": 40,\n  \""dependent_coverage\"": 0,\n  \""employer_cost_share\"": 0,\n  \""coverage_breadth\"": 0\n}""]",,16.027318954467773,15898,1280,1372,,[],['resp_02e3e2982b4f272c0069989e25012c8194a50d64a04a656c6a'],True
e25866cf_batch0,"[""{\n  \""coverage_breadth\"": 90,\n  \""overall_generosity\"": 85,\n  \""additional_benefits\"": 75,\n  \""employer_cost_share\"": 30,\n  \""dependent_coverage\"": 95\n}""]",,36.99343419075012,20615,3072,3188,,[],['resp_01c3f87dc88b67f30069989e1891148194a93f4446d7fd6aba'],True
d346416a_batch0,"[""{\n  \""coverage_breadth\"": 60,\n  \""overall_generosity\"": 85,\n  \""additional_benefits\"": 0,\n  \""dependent_coverage\"": 0,\n  \""employer_cost_share\"": 100\n}""]",,16.80058002471924,20128,1536,1613,,[],['resp_0b2108a6846ae63b0069989e3d5c088194bc057d022fe1b38a'],True
3eb14800_batch0,"[""{\n  \""dependent_coverage\"": 90,\n  \""overall_generosity\"": 35,\n  \""coverage_breadth\"": 40,\n  \""employer_cost_share\"": 0,\n  \""additional_benefits\"": 60\n}""]",,29.697086095809937,30282,2816,2906,,[],['resp_0fab5e380a2d556c0069989e34c82c8196968c32926317cd2c'],True
9e37bc07_batch0,"[""{\n  \""dependent_coverage\"": 85,\n  \""overall_generosity\"": 78,\n  \""additional_benefits\"": 62,\n  \""coverage_breadth\"": 75,\n  \""employer_cost_share\"": 92\n}""]",,40.85915780067444,13258,3520,3625,,[],['resp_0f47480bea86df780069989e2b4ecc8193a338eda250bf66bd'],True
f8fbe273_batch0,"[""{\n  \""employer_cost_share\"": 60,\n  \""dependent_coverage\"": 0,\n  \""coverage_breadth\"": 65,\n  \""additional_benefits\"": 60,\n  \""overall_generosity\"": 65\n}""]",,22.804242849349976,19932,1856,1974,,[],['resp_086038f87065a4e50069989e45bd4481949709a309d3939f79'],True
ee2ae3cb_batch0,"[""{\n  \""additional_benefits\"": 75,\n  \""employer_cost_share\"": 90,\n  \""dependent_coverage\"": 70,\n  \""coverage_breadth\"": 50,\n  \""overall_generosity\"": 85\n}""]",,25.35618567466736,22006,2048,2132,,[],['resp_0256b335bf2a34770069989e4edb608196afdd989ec43a4a17'],True
2d60cf9d_batch0,"[""{\n  \""additional_benefits\"": 0,\n  \""overall_generosity\"": 90,\n  \""employer_cost_share\"": 100,\n  \""dependent_coverage\"": 100,\n  \""coverage_breadth\"": 90\n}""]",,20.042147874832153,14664,1664,1741,,[],['resp_047937be5c5775080069989e55692481979eab3d13b0052233'],True
633dab55_batch0,"[""{\n  \""employer_cost_share\"": 0,\n  \""dependent_coverage\"": 0,\n  \""coverage_breadth\"": 25,\n  \""overall_generosity\"": 20,\n  \""additional_benefits\"": 0\n}""]",,19.348203897476196,2663,1600,1709,,[],['resp_0cc113dc9edc77f00069989e5c763c8190a4f34a5b1ee79bec'],True
694aa4ce_batch0,"[""{\n  \""coverage_breadth\"": 25,\n  \""additional_benefits\"": 0,\n  \""dependent_coverage\"": 0,\n  \""overall_generosity\"": 28,\n  \""employer_cost_share\"": 0\n}""]",,16.6496160030365,9668,1344,1433,,[],['resp_0def57df2d4210870069989e6dde7c8190aaf426a36a7c6765'],True
8bc66d13_batch0,"[""{\n  \""employer_cost_share\"": 85,\n  \""dependent_coverage\"": 90,\n  \""coverage_breadth\"": 70,\n  \""overall_generosity\"": 80,\n  \""additional_benefits\"": 0\n}""]",,24.164083003997803,4342,2304,2367,,[],['resp_0e58bd0b89c17c340069989e696e30819384d5a93433740459'],True
8c2921d1_batch0,"[""{\n  \""coverage_breadth\"": 85,\n  \""dependent_coverage\"": 90,\n  \""employer_cost_share\"": 85,\n  \""overall_generosity\"": 80,\n  \""additional_benefits\"": 70\n}""]",,33.1968560218811,36536,2880,2953,,[],['resp_00420f908eaba86f0069989e663ca48197a51d3528cf1866da'],True
41fc7706_batch0_run2,"[""{\n  \""dependent_coverage\"": 90,\n  \""employer_cost_share\"": 95,\n  \""overall_generosity\"": 90,\n  \""additional_benefits\"": 85,\n  \""coverage_breadth\"": 94\n}""]",,27.45846700668335,28662,2368,2475,,[],['resp_0ac0a6946c6c83e60069989e797728819380c79dac7a63941c'],True
f02aa9fd_batch0_run2,"[""{\n  \""coverage_breadth\"": 86,\n  \""employer_cost_share\"": 87,\n  \""overall_generosity\"": 85,\n  \""dependent_coverage\"": 92,\n  \""additional_benefits\"": 70\n}""]",,24.727201223373413,28418,2368,2434,,[],['resp_07527ace7e25e7ba0069989e84ca6c8190b2358f96ef3e1a79'],True
7828ea6d_batch0_run2,"[""{\n  \""dependent_coverage\"": 95,\n  \""employer_cost_share\"": 92,\n  \""additional_benefits\"": 88,\n  \""overall_generosity\"": 90,\n  \""coverage_breadth\"": 93\n}""]",,23.60128092765808,34986,2368,2480,,[],['resp_08b2fd51b3e3cde70069989e92a634819599813522fefd58f2'],True
e25866cf_batch0_run2,"[""{\n  \""coverage_breadth\"": 88,\n  \""overall_generosity\"": 78,\n  \""additional_benefits\"": 65,\n  \""employer_cost_share\"": 12,\n  \""dependent_coverage\"": 92\n}""]",,36.23520493507385,20615,2624,2731,,[],['resp_0ffd7d40d10a1a8a0069989ea787148194810d945b569dcae1'],True
10fdb2a6_batch0,"[""{\n  \""dependent_coverage\"": 100,\n  \""coverage_breadth\"": 92,\n  \""additional_benefits\"": 75,\n  \""employer_cost_share\"": 100,\n  \""overall_generosity\"": 90\n}""]",,27.73016929626465,37574,2560,2645,,[],['resp_05139914f243de410069989eaa2b8c8197be0126d52bf032f5'],True
8c59bca6_batch0_run2,"[""{\n  \""coverage_breadth\"": 40,\n  \""overall_generosity\"": 50,\n  \""employer_cost_share\"": 0,\n  \""additional_benefits\"": 25,\n  \""dependent_coverage\"": 90\n}""]",,26.173140048980713,18669,2432,2509,,[],['resp_0a56b7fefcce6b4c0069989eb248f48197ad2d0407bbf6500c'],True
4588158d_batch0_run2,"[""{\n  \""additional_benefits\"": 0,\n  \""overall_generosity\"": 25,\n  \""dependent_coverage\"": 0,\n  \""employer_cost_share\"": 0,\n  \""coverage_breadth\"": 0\n}""]",,22.20487093925476,15898,2496,2569,,[],['resp_01cfc532f43989320069989ec1c28081938eb584973aa7d3bc'],True
