Research Assistant, U of M                Varies
Research Associate, U of M                Varies
Sales Clerk I, U of M                      06
Sales Clerk II, U of M                     08
Sales Clerk III                            10
Statistical Clerk I                         10
Statistical Machine Operator I              10
Stenographer I                             07
Stenographer II                            10
Student Housing Officer                     12
Supervising Nutrition Aide                  08
Supervisor of Accommodation Services, U of M 12
Technical Assistant I                       11
Technical Assistant II                      13
Technical Specialist I                      14
Technical Specialist II                     16
Telephone Operator I                        07
Telephone Operator II                       10
Typist I                                   07
Typist II                                  09
X-Ray Technician I                         13

* Incumbent as of 9/27/86 only
